Time,temple_left_X,temple_left_Y,temple_left_Z,spine_front_left_X,spine_front_left_Y,spine_front_left_Z,spine_mid_left_X,spine_mid_left_Y,spine_mid_left_Z,spine_back_left_X,spine_back_left_Y,spine_back_left_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,left_hand_X,left_hand_Y,left_hand_Z,left_hip_X,left_hip_Y,left_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,left_ankle_bone_X,left_ankle_bone_Y,left_ankle_bone_Z,left_foot_X,left_foot_Y,left_foot_Z,tail_1_left_X,tail_1_left_Y,tail_1_left_Z,tail_2_left_X,tail_2_left_Y,tail_2_left_Z,temple_right_X,temple_right_Y,temple_right_Z,spine_front_right_X,spine_front_right_Y,spine_front_right_Z,spine_mid_right_X,spine_mid_right_Y,spine_mid_right_Z,spine_back_right_X,spine_back_right_Y,spine_back_right_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,right_hand_X,right_hand_Y,right_hand_Z,right_hip_X,right_hip_Y,right_hip_Z,right_knee_X,right_knee_Y,right_knee_Z,right_ankle_bone_X,right_ankle_bone_Y,right_ankle_bone_Z,right_foot_X,right_foot_Y,right_foot_Z,tail_1_right_X,tail_1_right_Y,tail_1_right_Z,tail_2_right_X,tail_2_right_Y,tail_2_right_Z,object_1_X,object_1_Y,object_1_Z,object_2_X,object_2_Y,object_2_Z,midtempleX,midtempleY,midtempleZ,midspinefrontX,midspinefrontY,midspinefrontZ,midspinemidX,midspinemidY,midspinemidZ,midspinebackX,midspinebackY,midspinebackZ,midtail1X,midtail1Y,midtail1Z,midtail2X,midtail2Y,midtail2Z,head_obj1_dist,spinefront_obj1_dist,lefthand_obj1_dist,righthand_obj1_dist
2.375,0.90983927,1.12401474,0.33111843,0.95241028,1.41651976,0.31706747,0.96889913,1.57320023,0.33244839,0.9863646,1.82284331,0.37591514,0.93105745,1.30993915,0.24622135,0.95264006,1.46863425,0.10589339,0.88252389,1.48409319,-0.1130906,0.83133137,1.47906542,-0.20860288,1.02278495,1.91635394,0.24651925,0.98569179,1.7642504,0.18858749,1.01690137,1.76470768,-0.05280227,1.00189936,1.66309166,-0.161855,0.96793634,2.00154853,0.32299384,0.97882706,2.07278275,0.31846926,0.69924629,1.19106722,0.31512311,0.71375579,1.50046635,0.34447554,0.73245162,1.64330626,0.35422951,0.7582947,1.89225602,0.38170767,0.67254621,1.45759046,0.20994748,0.66075939,1.60756028,0.12050847,0.71713966,1.65999544,-0.07572126,0.72627693,1.74639189,-0.10495552,0.74340343,2.00008202,0.29994595,0.70716906,1.88096011,0.16708632,0.7534042,1.92998827,-0.09381597,0.71230596,1.84629333,-0.21082056,0.82239169,2.06782198,0.33771095,0.83906722,2.14108467,0.32805836,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.80454278,1.15754098,0.32312077,0.833083035,1.458493055,0.330771505,0.850675375,1.608253245,0.34333895,0.87232965,1.857549665,0.378811405,0.895164015,2.034685255,0.330352395,0.90894714,2.10693371,0.32326381,1.04649181398334,1.34725044468721,1.43337285618216,1.66779540956988
2.383333,0.91122031,1.0731523,0.35260212,0.95238787,1.3719455,0.34065613,0.96331358,1.52987349,0.34795323,0.98027903,1.77709115,0.37275732,0.93917906,1.26215553,0.26728135,0.95866507,1.4116112,0.1259307,0.89952821,1.43956506,-0.08971959,0.85145408,1.45352483,-0.18614681,1.02617097,1.87126565,0.24208549,0.97912908,1.72146022,0.17816152,0.96846634,1.72210658,-0.07183587,0.95172209,1.61749029,-0.1819949,0.97085673,1.95210385,0.31885132,0.98200268,2.02621007,0.31946358,0.69607002,1.14035964,0.33644578,0.70671171,1.45281005,0.36188334,0.72843015,1.60163176,0.36250019,0.75854635,1.84925163,0.38498503,0.66604233,1.39581394,0.23025776,0.65197361,1.54880035,0.14314187,0.71693897,1.57475591,-0.0522925,0.7320804,1.66195643,-0.07703928,0.73957044,1.95607138,0.29786617,0.70434201,1.83925402,0.164829,0.72298205,1.86862481,-0.0913409,0.69939023,1.78101563,-0.2198099,0.82320839,2.02086449,0.33434135,0.83783221,2.09127617,0.32862142,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.803645165,1.10675597,0.34452395,0.82954979,1.412377775,0.351269735,0.845871865,1.565752625,0.35522671,0.86941269,1.81317139,0.378871175,0.89703256,1.98648417,0.326596335,0.909917445,2.05874312,0.3240425,0.998115139436621,1.30294002904885,1.40267561978343,1.5793147001685
2.391667,0.91040701,1.0210433,0.37145543,0.95220411,1.32670105,0.36420605,0.95860308,1.48521733,0.36283463,0.97619861,1.73060536,0.36847112,0.94400936,1.21322072,0.28912947,0.96268308,1.35427356,0.14517984,0.91284698,1.39103854,-0.06554674,0.87397277,1.4220593,-0.157849,1.02601516,1.82465696,0.23601767,0.97643989,1.67844748,0.16512845,0.9220674,1.69337475,-0.09101165,0.90729165,1.58470488,-0.19971319,0.97126019,1.90254784,0.31232733,0.98304671,1.97803962,0.31827271,0.69291508,1.0876404,0.35554063,0.70041579,1.40559506,0.37990773,0.72291112,1.55876255,0.3702932,0.75769913,1.80503833,0.38578808,0.66586745,1.33419502,0.25178832,0.64823121,1.48821115,0.16760038,0.7198956,1.48967814,-0.02730692,0.74515158,1.57619548,-0.04948974,0.73803556,1.91207063,0.29177448,0.7001515,1.79994857,0.15594468,0.71094346,1.82407379,-0.09463882,0.68734127,1.73928082,-0.22764759,0.82260978,1.97283542,0.33044723,0.83600813,2.04142523,0.32873479,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.801661045,1.05434185,0.36349803,0.82630995,1.366148055,0.37205689,0.8407571,1.52198994,0.366563915,0.86694887,1.767821845,0.3771296,0.896934985,1.93769163,0.32138728,0.90952742,2.009732425,0.32350375,0.948529149793816,1.2590249932294,1.3651935687239,1.48934028155065
2.4,0.90685821,0.96741933,0.38659546,0.94958866,1.28041136,0.38708675,0.95524728,1.43820989,0.37670627,0.97291261,1.68317401,0.36265418,0.94571209,1.16208816,0.31204724,0.96500534,1.29649019,0.16488501,0.92199886,1.33736777,-0.04057799,0.8951208,1.37996757,-0.12243907,1.01641834,1.77583039,0.22728059,0.97475857,1.63521934,0.14852358,0.87912029,1.67977822,-0.10980511,0.87240803,1.56842887,-0.21398588,0.96547657,1.85311854,0.30192462,0.97656769,1.92708123,0.3116937,0.68966669,1.03273094,0.37155616,0.69492823,1.35858917,0.39879182,0.71732664,1.51454186,0.37785476,0.75626779,1.7605058,0.38271871,0.66447681,1.27384281,0.27670735,0.64181882,1.42910683,0.20277098,0.72014433,1.39801586,0.00667723,0.75160873,1.48026502,-0.01797144,0.73801595,1.86820662,0.28494507,0.69888306,1.76241243,0.13847817,0.72484326,1.80259454,-0.10251506,0.67862344,1.72130036,-0.23088512,0.81968349,1.92423701,0.32450098,0.83425868,1.99172521,0.32643867,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.79826245,1.000075135,0.37907581,0.822258445,1.319500265,0.392939285,0.83628696,1.476375875,0.377280515,0.8645902,1.721839905,0.372686445,0.89258003,1.888677775,0.3132128,0.905413185,1.95940322,0.319066185,0.89729661736764,1.21523628574807,1.31616540128111,1.38905689016603
2.408333,0.90181422,0.91320831,0.39830077,0.94509315,1.23229861,0.40858045,0.95321023,1.38950241,0.38926804,0.97097737,1.63466644,0.35597041,0.94275504,1.1091243,0.33576956,0.9678722,1.2397784,0.18651526,0.92867601,1.27782428,-0.0133184,0.91246903,1.33112264,-0.08226305,1.01265717,1.72844398,0.2165972,0.96986043,1.59525609,0.12985754,0.85251343,1.67509115,-0.12371754,0.85536677,1.5630455,-0.22062689,0.95979214,1.80324614,0.28947869,0.97737795,1.87357795,0.3039887,0.68567246,0.97738838,0.38478339,0.69126511,1.31177282,0.418663,0.71226615,1.46953213,0.38599622,0.75287843,1.7155211,0.37584487,0.65582722,1.21332097,0.30220214,0.63504392,1.37227118,0.23585951,0.72004455,1.30804741,0.0446133,0.74580199,1.38522112,0.01735363,0.73757315,1.82216454,0.27390456,0.69659352,1.72407758,0.11667892,0.73959899,1.79308057,-0.11066364,0.6755572,1.7177341,-0.23286049,0.83062881,1.87346685,0.3150014,0.8297559,1.94025242,0.31930959,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.79374334,0.945298345,0.39154208,0.81817913,1.272035715,0.413621725,0.83273819,1.42951727,0.38763213,0.8619279,1.67509377,0.36590764,0.895210475,1.838356495,0.302240045,0.903566925,1.906915185,0.311649145,0.84566995023109,1.17121633410326,1.25996246924544,1.2897104976166
2.416667,0.89570421,0.8587864,0.40769261,0.94104022,1.18225455,0.42844227,0.95314151,1.33987308,0.40058136,0.96841151,1.5854131,0.34913349,0.94064927,1.05559433,0.35969517,0.97385997,1.18393886,0.21290654,0.93033874,1.21510243,0.01610902,0.9250173,1.27390218,-0.04005839,1.00938296,1.67916489,0.20748594,0.95648152,1.55887866,0.11003885,0.84216064,1.67055964,-0.12979326,0.84925878,1.56210005,-0.2228815,0.95411676,1.7510097,0.27914354,0.97291934,1.81738245,0.2941018,0.68138486,0.92187977,0.39582828,0.69054753,1.2636323,0.43925235,0.70860267,1.42378712,0.39610508,0.74835742,1.67109418,0.36475968,0.64303249,1.15420866,0.33176664,0.626082,1.31864643,0.27077672,0.71722674,1.21847928,0.0879938,0.72860122,1.28783572,0.05591282,0.73529422,1.77403426,0.26103029,0.69668603,1.68575442,0.09520815,0.74961293,1.78854728,-0.12032743,0.67503494,1.71583605,-0.23184288,0.83022887,1.82214689,0.30218613,0.82422376,1.88805878,0.30720878,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.788544535,0.890333085,0.401760445,0.815793875,1.222943425,0.43384731,0.83087209,1.3818301,0.39834322,0.858384465,1.62825364,0.356946585,0.892172815,1.786578295,0.290664835,0.89857155,1.852720615,0.30065529,0.794036565124233,1.1261926657605,1.19566541488358,1.1886800738566
2.425,0.88958675,0.80506212,0.41524372,0.93794841,1.12987673,0.44736367,0.95049417,1.29102731,0.41143578,0.96343654,1.53606498,0.34420827,0.93719482,1.00145435,0.38301253,0.980142,1.12994158,0.24279618,0.93254608,1.15212512,0.04717868,0.92999893,1.21287537,0.00032531,1.00806379,1.62729037,0.20203155,0.94262779,1.52505851,0.0948085,0.84839284,1.66084766,-0.12542991,0.84919655,1.56178653,-0.22162482,0.94986182,1.69562685,0.27445281,0.97153091,1.75717676,0.28651711,0.67584658,0.86668599,0.4054018,0.68965608,1.21515071,0.45974216,0.7047978,1.37725174,0.40824199,0.74199897,1.62507927,0.3511706,0.63217258,1.09557092,0.36427549,0.62489516,1.26430571,0.29805171,0.71084684,1.13479269,0.13045554,0.71824265,1.19988036,0.09004263,0.73316741,1.72325742,0.24760199,0.69572675,1.65000868,0.07900321,0.74967808,1.77964914,-0.12483743,0.67560762,1.71545887,-0.23144683,0.83327448,1.76880693,0.28990564,0.81934488,1.83412611,0.29314929,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.782716665,0.835874055,0.41032276,0.813802245,1.17251372,0.453552915,0.827645985,1.334139525,0.409838885,0.852717755,1.580572125,0.347689435,0.89156815,1.73221689,0.282179225,0.895437895,1.795651435,0.2898332,0.743172515999863,1.08049176163592,1.12816674126499,1.09790213627406
2.433333,0.88349384,0.7519415,0.42161173,0.93598771,1.07723725,0.46492893,0.9455198,1.24349511,0.42236644,0.96083695,1.48763537,0.34325367,0.93374103,0.94623077,0.40495819,0.98587304,1.07689631,0.27508852,0.92974263,1.08522785,0.08089554,0.93125141,1.14914215,0.03849007,1.00769901,1.57470739,0.20516792,0.93841398,1.48910153,0.08805887,0.86159039,1.64207733,-0.11370639,0.84952158,1.56106436,-0.22008587,0.95049238,1.64045525,0.27792576,0.9685148,1.69923961,0.28469205,0.6706382,0.81292522,0.41345376,0.69170684,1.16478539,0.48024845,0.70053571,1.33031988,0.42176193,0.73347586,1.57553566,0.33786729,0.62881649,1.04412436,0.39844179,0.62471288,1.20882976,0.32311532,0.69865763,1.05026698,0.1776135,0.70618498,1.11181009,0.12682755,0.72790509,1.66906524,0.24005266,0.69523245,1.61653101,0.07475115,0.73190659,1.76242733,-0.12464324,0.67610103,1.71436167,-0.23084921,0.83063465,1.71446514,0.28032893,0.81371063,1.77850652,0.2831288,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.77706602,0.78243336,0.417532745,0.813847275,1.12101132,0.47258869,0.823027755,1.286907495,0.422064185,0.847156405,1.531585515,0.34056048,0.890563515,1.677460195,0.279127345,0.891112715,1.738873065,0.283910425,0.693616591300638,1.0344132624857,1.05877315594188,1.00766838697928
2.441667,0.87710869,0.69930714,0.42698896,0.9332943,1.02362847,0.48173639,0.94120306,1.1983794,0.43372878,0.95888221,1.43933141,0.34806755,0.92834806,0.89063185,0.42491931,0.98730403,1.02484357,0.30607927,0.92941517,1.01478183,0.11486863,0.93130058,1.08128166,0.07481912,0.99585807,1.5191679,0.21458891,0.94646406,1.44853091,0.09410609,0.88210166,1.61203074,-0.09703118,0.84974945,1.55948222,-0.2182568,0.95172143,1.58589649,0.28821692,0.96489573,1.64219379,0.2883426,0.66559511,0.76032299,0.42116287,0.69306326,1.11385286,0.50017238,0.6966055,1.28395104,0.43589503,0.7250315,1.52309549,0.33267245,0.62732184,0.99476701,0.4291105,0.62490523,1.15087044,0.3413175,0.68353462,0.96777701,0.22537777,0.69711959,1.02171016,0.16562526,0.72178143,1.61416876,0.24450214,0.69142842,1.58078337,0.08444583,0.72055387,1.73461306,-0.11165541,0.67816466,1.71309865,-0.22890073,0.83696419,1.65778613,0.28031343,0.80773097,1.72237277,0.28146666,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.7713519,0.729815065,0.424075915,0.81317878,1.068740665,0.490954385,0.81890428,1.24116522,0.434811905,0.841956855,1.48121345,0.34037,0.89434281,1.62184131,0.284265175,0.88631335,1.68228328,0.28490463,0.645399418427774,0.988317338027038,0.986189333600768,0.916115667030811
2.45,0.87024522,0.64685768,0.43171641,0.92910504,0.97005123,0.49705225,0.93953639,1.15443063,0.44536349,0.96227741,1.39132786,0.3573769,0.92301887,0.83503175,0.44283271,0.985879,0.97322643,0.33495361,0.92756683,0.93948239,0.15062277,0.93083441,1.01152194,0.10928446,0.99491465,1.46875596,0.23087753,0.95240605,1.40550971,0.10710881,0.89905423,1.57025945,-0.07654737,0.85747039,1.55305111,-0.21400568,0.95314574,1.53243434,0.30354512,0.95994222,1.58805728,0.29979116,0.66243535,0.70897627,0.42808813,0.69614351,1.06103647,0.5198099,0.69397575,1.23814201,0.45053014,0.71935433,1.47094834,0.33805171,0.6291917,0.948268,0.45612779,0.6231581,1.08918202,0.35488877,0.67149049,0.88933349,0.27191907,0.68909287,0.93003559,0.20575723,0.71269947,1.55958903,0.2570239,0.68608117,1.53871524,0.1054024,0.71377462,1.69506121,-0.0944612,0.68187916,1.70729113,-0.22127119,0.83946401,1.60156953,0.29048324,0.80021483,1.6672852,0.28923139,0.81095874,0.11508609,0.23151425,0.81295455,0.09964574,-0.23540983,0.766340285,0.677916975,0.42990227,0.812624275,1.01554385,0.508431075,0.81675607,1.19628632,0.447946815,0.84081587,1.4311381,0.347714305,0.896304875,1.567001935,0.29701418,0.880078525,1.62767124,0.294511275,0.598437313438919,0.942077427560567,0.912637677825442,0.824413368341627
