Time,temple_left_X,temple_left_Y,temple_left_Z,spine_front_left_X,spine_front_left_Y,spine_front_left_Z,spine_mid_left_X,spine_mid_left_Y,spine_mid_left_Z,spine_back_left_X,spine_back_left_Y,spine_back_left_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,left_hand_X,left_hand_Y,left_hand_Z,left_hip_X,left_hip_Y,left_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,left_ankle_bone_X,left_ankle_bone_Y,left_ankle_bone_Z,left_foot_X,left_foot_Y,left_foot_Z,tail_1_left_X,tail_1_left_Y,tail_1_left_Z,tail_2_left_X,tail_2_left_Y,tail_2_left_Z,temple_right_X,temple_right_Y,temple_right_Z,spine_front_right_X,spine_front_right_Y,spine_front_right_Z,spine_mid_right_X,spine_mid_right_Y,spine_mid_right_Z,spine_back_right_X,spine_back_right_Y,spine_back_right_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,right_hand_X,right_hand_Y,right_hand_Z,right_hip_X,right_hip_Y,right_hip_Z,right_knee_X,right_knee_Y,right_knee_Z,right_ankle_bone_X,right_ankle_bone_Y,right_ankle_bone_Z,right_foot_X,right_foot_Y,right_foot_Z,tail_1_right_X,tail_1_right_Y,tail_1_right_Z,tail_2_right_X,tail_2_right_Y,tail_2_right_Z,object_1_X,object_1_Y,object_1_Z,object_2_X,object_2_Y,object_2_Z,midtempleX,midtempleY,midtempleZ,midspinefrontX,midspinefrontY,midspinefrontZ,midspinemidX,midspinemidY,midspinemidZ,midspinebackX,midspinebackY,midspinebackZ,midtail1X,midtail1Y,midtail1Z,midtail2X,midtail2Y,midtail2Z,head_obj1_dist,spinefront_obj1_dist,lefthand_obj1_dist,righthand_obj1_dist
2.666667,0.48105684,1.10303199,0.17304698,0.15291275,1.07814229,0.24727374,-0.0122245,1.03958511,0.26513383,-0.22446465,0.99320132,0.31634432,0.25317168,1.11838305,0.13888386,0.18425296,1.11843193,-0.01160076,0.40015456,1.14470685,-0.05658472,0.47879845,1.14521384,-0.13663787,-0.39152393,0.99893141,0.23812275,-0.31412694,1.00387907,0.09075553,-0.48060298,0.91149586,-0.07226554,-0.44117561,0.94347674,-0.20164713,-0.41571644,0.92003679,0.33342135,-0.48872647,0.90761673,0.3110545,0.49564958,0.99456644,0.16171962,0.16585495,0.91094387,0.26409823,0.00540723,0.89348501,0.25188154,-0.21078454,0.85703915,0.30895367,0.23029573,0.9070459,0.12907077,0.10028935,0.90345383,0.00468065,0.15856177,0.93934888,-0.15705632,0.21619314,0.9415707,-0.21045713,-0.32635075,0.81099916,0.26076084,-0.2034938,0.83011121,0.12876496,-0.37814191,0.83438569,-0.01566627,-0.27699608,0.85388356,-0.09365354,-0.40449789,0.85821414,0.30235934,-0.48898119,0.87320828,0.29009339,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.48835321,1.048799215,0.1673833,0.15938385,0.99454308,0.255685985,-0.003408635,0.96653506,0.258507685,-0.217624595,0.925120235,0.312648995,-0.410107165,0.889125465,0.317890345,-0.48885383,0.890412505,0.300573945,1.10724841713196,1.42895625116439,1.19784588222602,1.48230270722012
2.675,0.51868582,1.10731006,0.18521509,0.19518244,1.08618009,0.24569033,0.03108178,1.04478359,0.26701689,-0.18970551,1.00094616,0.31671846,0.29546419,1.12317061,0.13611925,0.24418515,1.1256963,-0.01326673,0.45174876,1.15554643,-0.07714728,0.54235125,1.15590477,-0.1540231,-0.35683712,1.00727522,0.23491037,-0.28282371,1.00990236,0.08971753,-0.46224007,0.92442995,-0.06219977,-0.43629807,0.94398504,-0.19703254,-0.37833202,0.91851974,0.32709506,-0.45041189,0.91243863,0.30289349,0.53250742,0.99891204,0.17251235,0.20003714,0.91783524,0.26894987,0.04392898,0.90069407,0.25904089,-0.17195717,0.86497271,0.31853524,0.25773174,0.91208297,0.12828466,0.12289716,0.89783597,0.01421288,0.16358939,0.93884873,-0.1518506,0.21635939,0.94187909,-0.21033207,-0.28727552,0.81505436,0.26336047,-0.15293396,0.83156252,0.13993521,-0.30860743,0.85507023,-0.03961318,-0.19742499,0.8600409,-0.10894314,-0.36769882,0.86356962,0.29757735,-0.45996016,0.88451445,0.28362539,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.52559662,1.05311105,0.17886372,0.19760979,1.002007665,0.2573201,0.03750538,0.97273883,0.26302889,-0.18083134,0.932959435,0.31762685,-0.37301542,0.89104468,0.312336205,-0.455186025,0.89847654,0.29325944,1.06846184391829,1.39013748556143,1.14723052825851,1.48206183760108
2.683333,0.55593711,1.11314666,0.20022103,0.23597111,1.09899402,0.24795818,0.07095969,1.05295491,0.26992685,-0.15573287,1.00762248,0.3182821,0.3366918,1.12800503,0.13649142,0.30018395,1.12288678,-0.00992608,0.49447668,1.15492356,-0.1037724,0.5913682,1.16649806,-0.1758936,-0.31987813,1.0109669,0.23036419,-0.24366181,1.02110553,0.09070887,-0.43600914,0.94622928,-0.04779217,-0.42454395,0.94546342,-0.18839543,-0.34446231,0.92441201,0.32124174,-0.41242006,0.92825508,0.29438642,0.56877941,1.00257969,0.1863392,0.23546742,0.92578971,0.27466232,0.08256409,0.90879154,0.26711652,-0.13448779,0.87284029,0.32740301,0.28727064,0.91681141,0.12950289,0.14735983,0.89260828,0.02334086,0.16967697,0.93953633,-0.14599006,0.21651131,0.94222665,-0.21014225,-0.2478721,0.82014126,0.2657378,-0.10450342,0.8321324,0.15222251,-0.23643966,0.87778658,-0.05929979,-0.11739421,0.86693478,-0.127086,-0.33066604,0.87180442,0.29417953,-0.4225581,0.89128089,0.27629808,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.56235826,1.057863175,0.193280115,0.235719265,1.012391865,0.26131025,0.07676189,0.980873225,0.268521685,-0.14511033,0.940231385,0.322842555,-0.337564175,0.898108215,0.307710635,-0.41748908,0.909767985,0.28534225,1.0297270984796,1.35102242848482,1.11329379559658,1.48180490408152
2.691667,0.59314442,1.11926389,0.21762452,0.27731627,1.1116513,0.25355986,0.11227596,1.06467056,0.27385128,-0.12116025,1.01441193,0.32052049,0.37608489,1.13448596,0.14056212,0.34809694,1.12398124,0.00207161,0.52909344,1.15074396,-0.1272832,0.62416661,1.16726077,-0.19788034,-0.27870557,1.01334441,0.22628655,-0.19363162,1.03527951,0.09311592,-0.40311018,0.96568966,-0.03119799,-0.40165162,0.95491803,-0.17258155,-0.30868247,0.92835367,0.3143909,-0.37409589,0.93570411,0.28598058,0.60473263,1.00644553,0.20287339,0.27263343,0.93303722,0.28098348,0.12149337,0.91801828,0.27632609,-0.09737574,0.87963074,0.33440781,0.31830135,0.92223334,0.13326065,0.17334868,0.89249319,0.03215778,0.17770088,0.94109756,-0.13930258,0.21669708,0.94289833,-0.20959362,-0.20784409,0.82516193,0.26774681,-0.05870219,0.83653593,0.16137145,-0.1571328,0.89410537,-0.07451592,-0.04474922,0.8826226,-0.14851479,-0.29382393,0.87312126,0.29296845,-0.38621393,0.89770383,0.26988062,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.598938525,1.06285471,0.210248955,0.27497485,1.02234426,0.26727167,0.116884665,0.99134442,0.275088685,-0.109267995,0.947021335,0.32746415,-0.3012532,0.900737465,0.303679675,-0.38015491,0.91670397,0.2779306,0.990900018020057,1.31073337703413,1.09495156958843,1.48134036793945
2.7,0.63038087,1.12420511,0.23674907,0.31861398,1.11972499,0.26068735,0.15381013,1.07502484,0.27832291,-0.08556159,1.02169001,0.32288983,0.41626906,1.13730514,0.14714135,0.38581607,1.13130009,0.01186646,0.55315763,1.1433264,-0.142597,0.63966882,1.16829741,-0.20954546,-0.23841681,1.01628518,0.22278361,-0.1406111,1.04362237,0.09533034,-0.35974804,0.98376971,-0.00944938,-0.36374897,0.97074693,-0.15197642,-0.27212051,0.93569744,0.3089605,-0.33493569,0.94534725,0.27937385,0.64030033,1.01071668,0.22169599,0.30964279,0.93995202,0.28752324,0.16026151,0.92639804,0.28615147,-0.06147026,0.88642573,0.3393352,0.35130551,0.92703813,0.13950069,0.20167162,0.89832556,0.04156189,0.18873179,0.9443953,-0.13209714,0.21879868,0.94246674,-0.20822915,-0.16824906,0.83041942,0.26918143,-0.01673869,0.84620875,0.16638528,-0.07962383,0.90130979,-0.08358955,0.02923577,0.89770472,-0.16821928,-0.25682896,0.87896204,0.2912747,-0.34351966,0.90475494,0.2639291,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.6353406,1.067460895,0.22922253,0.314128385,1.029838505,0.274105295,0.15703582,1.00071144,0.28223719,-0.073515925,0.95405787,0.331112515,-0.264474735,0.90732974,0.3001176,-0.339227675,0.925051095,0.271651475,0.952197387809133,1.27075782138385,1.0873313142781,1.47896198951921
2.708333,0.66754556,1.12829661,0.2578811,0.35956806,1.12443042,0.26842734,0.19496074,1.08977759,0.28354713,-0.04910709,1.03008854,0.32528105,0.4558925,1.14048827,0.1552854,0.41531104,1.13443828,0.02002448,0.56599909,1.1426996,-0.14832562,0.64709997,1.1683892,-0.21242419,-0.19397482,1.02308404,0.22093765,-0.08398751,1.04584336,0.09713405,-0.3111378,0.99370497,0.01285741,-0.31375444,0.99041462,-0.12973876,-0.2325806,0.94129938,0.3039965,-0.29709655,0.95217252,0.27496687,0.67590046,1.01569188,0.24321745,0.34626672,0.94607627,0.29451761,0.19825137,0.93456697,0.29598635,-0.02559982,0.8928538,0.34355572,0.38617915,0.93310791,0.14835706,0.23286109,0.90421152,0.0521977,0.20535094,0.95025373,-0.1242952,0.20990944,0.954184,-0.20607294,-0.12958598,0.83701664,0.27080196,0.02087017,0.85554284,0.16874939,-0.00612667,0.90035015,-0.09124557,0.10342022,0.90411681,-0.18270329,-0.21953763,0.88456303,0.29058725,-0.30328444,0.91280031,0.25888956,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.67172301,1.071994245,0.250549275,0.35291739,1.035253345,0.281472475,0.196606055,1.01217228,0.28976674,-0.037353455,0.96147117,0.334418385,-0.226059115,0.912931205,0.297291875,-0.300190495,0.932486415,0.266928215,0.91351759508893,1.23133009015736,1.08238890929514,1.48481397033949
2.716667,0.70438486,1.1318903,0.28088486,0.39875355,1.12782645,0.2757405,0.23258662,1.10191226,0.28868487,-0.01247848,1.03843737,0.32808739,0.49370629,1.1419189,0.16353463,0.4360832,1.1357615,0.02704969,0.56702477,1.14131403,-0.1527805,0.64924371,1.17146218,-0.21099573,-0.14820193,1.02454162,0.21984091,-0.02891601,1.05022216,0.10009448,-0.25483176,1.00571847,0.03369883,-0.24443446,1.00735891,-0.10956743,-0.19392583,0.95245302,0.30235907,-0.25934088,0.95998442,0.27190942,0.71150148,1.02089632,0.26735565,0.38301846,0.95180303,0.30207157,0.23578367,0.94205713,0.30606961,0.01023689,0.90071762,0.34734729,0.42213714,0.9402107,0.15897655,0.26834649,0.91432482,0.06402695,0.22810352,0.95736343,-0.11685348,0.21220069,0.96010643,-0.19683039,-0.09170753,0.84836435,0.2722874,0.05684988,0.86177218,0.16705061,0.05901657,0.89933765,-0.09571004,0.17162871,0.91065997,-0.19233996,-0.18184584,0.89827943,0.28951898,-0.26282918,0.91638243,0.25815991,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.70794317,1.07639331,0.274120255,0.390886005,1.03981474,0.288906035,0.234185145,1.021984695,0.29737724,-0.001120795,0.969577495,0.33771734,-0.187885835,0.925366225,0.295939025,-0.26108503,0.938183425,0.265034665,0.875186631453161,1.19281759989371,1.07989543638287,1.47858894865235
2.725,0.74132282,1.13647377,0.30653286,0.43642789,1.13333321,0.28375465,0.26721302,1.10964978,0.29360512,0.02485156,1.04774046,0.3308596,0.52735656,1.14533186,0.17155835,0.45261008,1.1337862,0.03540238,0.56659508,1.14016867,-0.15440039,0.64967316,1.17162192,-0.21072514,-0.10100424,1.03591502,0.21953142,0.02171375,1.087219,0.11391712,-0.19427584,1.01300955,0.04523572,-0.16332932,1.02611542,-0.09571397,-0.15285875,0.96016419,0.3013812,-0.22238038,0.9650836,0.26888725,0.74665833,1.02558327,0.29385462,0.4191505,0.95796001,0.3106584,0.27258003,0.94901693,0.31612876,0.04635377,0.90776747,0.35109919,0.45890641,0.94946396,0.17056991,0.3079372,0.92030197,0.07848086,0.25861043,0.96590114,-0.10917592,0.2198225,0.9686051,-0.18812719,-0.05399886,0.86044317,0.27299055,0.09132145,0.86903608,0.16212501,0.11694162,0.89172071,-0.09845947,0.2312683,0.90781087,-0.19831553,-0.14326712,0.91137606,0.28794694,-0.22294077,0.91939932,0.25822586,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.743990575,1.08102852,0.30019374,0.427789195,1.04564661,0.297206525,0.269896525,1.029333355,0.30486694,0.035602665,0.977753965,0.340979395,-0.148062935,0.935770125,0.29466407,-0.222660575,0.94224146,0.263556555,0.837390018630667,1.15525711068669,1.07939253336659,1.46737341929783
2.733333,0.77634406,1.14041984,0.33348951,0.47258231,1.13834381,0.29300231,0.30092236,1.11444294,0.29925382,0.06208881,1.05533361,0.33272833,0.55829513,1.14749515,0.17988567,0.46949038,1.13546288,0.04589437,0.56813431,1.13885152,-0.15310565,0.64930373,1.17046189,-0.21079037,-0.05488518,1.04420805,0.21747622,0.07540742,1.10340846,0.12254095,-0.12604001,1.02522838,0.04389679,-0.06933703,1.0367192,-0.0902677,-0.11269925,0.97033542,0.29870841,-0.18313543,0.97640163,0.26598814,0.78087932,1.0298208,0.32198134,0.45467243,0.96482354,0.32021856,0.30911148,0.95478827,0.32659733,0.08230624,0.91423661,0.35398969,0.49753219,0.95897549,0.18269692,0.35200214,0.93012875,0.0905482,0.29823425,0.97181845,-0.10232063,0.2518796,0.96515167,-0.17430736,-0.0151103,0.87018353,0.27168477,0.1268546,0.87684453,0.15434915,0.1578999,0.88673049,-0.10140423,0.27176127,0.90002853,-0.20397034,-0.10434246,0.92132115,0.28601632,-0.18393104,0.92390484,0.25788933,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.77861169,1.08512032,0.327735425,0.46362737,1.051583675,0.306610435,0.30501692,1.034615605,0.312925575,0.072197525,0.98478511,0.34335901,-0.108520855,0.945828285,0.292362365,-0.183533235,0.950153235,0.261938735,0.801748152372697,1.11876503612499,1.07971283745618,1.43316352130199
2.741667,0.80947351,1.14517176,0.36177418,0.50705528,1.14280176,0.30424142,0.33542424,1.12100458,0.30656636,0.0988773,1.06150138,0.33342314,0.58809197,1.15201342,0.19117768,0.4900358,1.13924241,0.05884926,0.57567465,1.13839102,-0.14593811,0.64915097,1.16918766,-0.21121858,-0.01264416,1.06014884,0.21552938,0.12456094,1.11851978,0.13279784,-0.05180671,1.04016507,0.02665647,0.022126,1.05286086,-0.09369259,-0.07157692,0.97577971,0.29332805,-0.14126047,0.98279464,0.26304963,0.81336504,1.03340888,0.35056439,0.49006456,0.97108394,0.33094648,0.34563032,0.9587065,0.3365514,0.11810473,0.91897702,0.35537127,0.53803378,0.96821231,0.19543272,0.39846399,0.93031764,0.10412481,0.34799582,0.98527354,-0.09389672,0.28640881,0.96394253,-0.15775481,0.02445269,0.8734569,0.26777864,0.16333221,0.88590986,0.14752607,0.18143173,0.88244992,-0.10830851,0.29300457,0.8855297,-0.21044618,-0.06501106,0.92282176,0.2822217,-0.14628489,0.93230754,0.25532305,1.57823062,1.14244771,0.33883664,1.58909476,1.17783558,-0.20017017,0.811419275,1.08929032,0.356169285,0.49855992,1.05694285,0.31759395,0.34052728,1.03985554,0.32155888,0.108491015,0.9902392,0.344397205,-0.06829399,0.949300735,0.287774875,-0.14377268,0.95755109,0.25918634,0.768847037787763,1.08325950418196,1.08002998385201,1.39544643619582
