Time,high_height_jump_1_left_shoulder_angle,high_height_jump_1_left_shoulder_angle_v,high_height_jump_1_left_shoulder_angle_a,high_height_jump_1_left_elbow_angle,high_height_jump_1_left_elbow_angle_v,high_height_jump_1_left_elbow_angle_a,high_height_jump_1_left_wrist_angle,high_height_jump_1_left_wrist_angle_v,high_height_jump_1_left_wrist_angle_a,high_height_jump_1_left_hip_angle,high_height_jump_1_left_hip_angle_v,high_height_jump_1_left_hip_angle_a,high_height_jump_1_left_knee_angle,high_height_jump_1_left_knee_angle_v,high_height_jump_1_left_knee_angle_a,high_height_jump_1_left_ankle_angle,high_height_jump_1_left_ankle_angle_v,high_height_jump_1_left_ankle_angle_a,high_height_jump_1_right_shoulder_angle,high_height_jump_1_right_shoulder_angle_v,high_height_jump_1_right_shoulder_angle_a,high_height_jump_1_right_elbow_angle,high_height_jump_1_right_elbow_angle_v,high_height_jump_1_right_elbow_angle_a,high_height_jump_1_right_wrist_angle,high_height_jump_1_right_wrist_angle_v,high_height_jump_1_right_wrist_angle_a,high_height_jump_1_right_hip_angle,high_height_jump_1_right_hip_angle_v,high_height_jump_1_right_hip_angle_a,high_height_jump_1_right_knee_angle,high_height_jump_1_right_knee_angle_v,high_height_jump_1_right_knee_angle_a,high_height_jump_1_right_ankle_angle,high_height_jump_1_right_ankle_angle_v,high_height_jump_1_right_ankle_angle_a,high_height_jump_1_temple_spine_angle,high_height_jump_1_temple_spine_angle_v,high_height_jump_1_temple_spine_angle_a,high_height_jump_1_spine_angle,high_height_jump_1_spine_angle_v,high_height_jump_1_spine_angle_a,high_height_jump_1_spine_tail_angle,high_height_jump_1_spine_tail_angle_v,high_height_jump_1_spine_tail_angle_a,NeckAng,SpineAng,TailAng
2.583333,90.06093597,602.84301758,-23888.34960938,88.68606567,-65.96188354,38793.13671875,144.54034424,121.37010193,-11792.30859375,80.72594452,-297.07452393,3373.39746094,54.49325943,1193.63952637,-11776.33105469,78.91010284,755.42431641,8562.32714844,97.39492035,-1392.99133301,49919.1171875,86.38783264,684.5814209,12873.17871094,150.9622345,44.1497879,3919.13085938,82.57215881,-241.8348999,9982.75390625,79.76811981,1209.42321777,-8378.76171875,91.30160522,829.06793213,14101.21875,150.24560547,439.28271484,-33860.78125,163.60502625,913.60180664,-43326.09375,178.33625793,-1633.859375,32856.0625,2.67175553163639,4.48355576413889,1.66502066917699
2.591666,94.10725403,402.58670044,-22825.97460938,87.40611267,253.50679016,33099.1953125,146.50715637,35.56457901,1360.72094727,78.40044403,-254.49784851,8964.96289063,65.13354492,1082.40075684,-11716.7734375,86.80982971,785.81549072,4362.75537109,86.78076172,-986.69091797,46668.9296875,91.0395813,761.49542236,2410.31640625,149.40080261,65.67902374,-6391.36914063,80.49737549,-139.12171936,14708.98632813,89.52877045,1122.82067871,-13247.33007813,95.21140289,906.97912598,-5323.67480469,154.29342651,172.56227112,-22212.13867188,171.92053223,556.70111084,-31859.14257813,163.45921326,-1354.18310547,27788.14648438,3.73908614552514,3.15477140074565,4.63589594005677
2.6,99.01550293,202.33041382,-21763.59960938,89.66481781,572.97546387,27405.25390625,145.91899109,-50.24094009,14513.75,76.22827148,-211.9211731,14556.52832031,73.74681854,971.1619873,-11657.21582031,92.20716095,816.20666504,163.18360901,76.85522461,-580.39050293,43418.7421875,98.8000946,838.40942383,-8052.54589844,150.52476501,87.20825958,-16701.86914063,79.12584686,-36.40854263,19435.21875,99.30007172,1036.21813965,-18115.8984375,105.92269135,984.89031982,-24748.56835938,156.47816467,-94.15818024,-10563.49609375,178.40234375,199.8004303,-20392.19335938,151.71107483,-1074.50683594,22720.23046875,5.16741109218914,1.91010542096266,6.38266511953514
2.608333,101.9069519,40.86532974,-20456.26171875,95.78832245,702.85803223,22975.86523438,144.05220032,149.16383362,10614.79003906,74.0337677,-87.93648529,18217.18554688,81.05449677,947.75750732,-15844.93652344,96.94234467,953.39074707,-14401.47363281,71.70614624,-250.09143066,35652.67578125,105.88092804,771.421875,-17226.42773438,153.41836548,-172.96754456,-20759.78125,79.08628082,80.70397186,23600.91601563,107.94991302,907.33325195,-21730.55859375,115.72937775,696.28094482,-32583.1796875,154.40788269,-80.43122101,-5682.09960938,174.98834229,228.92961121,-18212.42382813,147.83972168,-1045.48974609,23095.19335938,6.55115841917267,1.07892515530342,7.41480132902263
2.616667,98.76293945,-136.57487488,-15941.90136719,103.01057434,965.07843018,8875.33691406,144.64678955,464.38632202,5161.9609375,73.03313446,113.13759613,22590.29101563,88.23821259,796.84033203,-18541.62695313,105.16567993,829.8470459,-29086.16992188,72.01329803,134.28475952,19959.39257813,113.2886734,567.85870361,-31379.74414063,155.978302,-335.93463135,-28124.12890625,79.98567963,353.23544312,24589.13476563,115.86213684,667.37683105,-26139.53320313,123.92453003,284.48175049,-43958.13671875,150.18312073,-91.85349274,5456.25732422,175.50062561,14.04754734,-10254.48339844,137.48646545,-745.57885742,20701.12695313,7.48843406039587,1.5075829043072,9.27037277504117
2.625,95.4344635,-303.162323,-12173.12402344,112.9432373,1056.81860352,-7509.19775391,146.10157776,603.86920166,-10788.53027344,73.87503815,361.47000122,22892.76757813,95.79602051,599.3425293,-22291.44726563,117.50241089,447.72122192,-44048.96484375,78.55583191,309.09976196,3417.92895508,119.50138855,204.78753662,-43239.54296875,146.54907227,-643.63165283,-24242.85546875,82.29401398,654.56298828,21655.16992188,120.76856232,383.24246216,-29282.51367188,124.61151123,-279.90853882,-43770.828125,148.10830688,12.01294041,10417.41503906,176.17590332,-7.17651415,-10419.32910156,130.15667725,-602.6473999,26168.76953125,7.39916711591655,3.08313667561551,10.9090735807821
2.633333,92.05397034,-362.55154419,-9986.93066406,122.61392212,939.46228027,-26817.23046875,158.69624329,382.15808105,-36518.203125,78.92308807,603.5446167,17826.82226563,101.48757172,365.69699097,-23758.12695313,124.62104797,-120.40574646,-50987.203125,84.91708374,190.10118103,-11968.03125,120.31557465,-241.33273315,-47111.59765625,139.86901855,-987.32537842,-14790.81640625,89.21492004,889.76959229,12783.75195313,122.83361816,133.99697876,-27258.0859375,117.92840576,-703.49731445,-30118.41210938,150.0012207,175.1582489,10430.27441406,176.58731079,-1.12487805,-7701.73291016,126.878685,-473.11459351,29155.40625,6.47654112276841,4.32772258264895,12.4732549375034
2.641666,89.94399261,-366.66171265,-7101.30273438,132.86320496,585.27606201,-46240.58984375,170.2019043,-96.40946198,-55853.64453125,85.73477936,761.39935303,9018.95898438,103.08862305,136.82855225,-19910.38867188,120.18000031,-692.13391113,-41073.66796875,87.28261566,-112.11891937,-23491.69335938,114.79819489,-743.01885986,-41943.96875,130.58932495,-1078.14245605,-4673.50195313,100.24140167,927.97662354,-2395.76782227,121.02294922,-132.60400391,-20532.375,105.27416229,-926.49432373,-8553.4921875,154.44094849,291.58404541,7958.67822266,176.73114014,-173.7936554,-2868.34155273,124.8131485,-153.43583679,24512.7890625,4.81752992012857,5.64211190863407,13.5923451431142
2.65,86.94750977,-421.09234619,-4021.55810547,137.83493042,30.19821548,-56932.34765625,165.60133362,-811.33966064,-55491.5625,94.51985931,777.91418457,-1264.71813965,101.20248413,-44.39377213,-12859.31933594,103.91506195,-1097.75549316,-17211.14453125,83.34896851,-416.43215942,-24760.13476563,105.75658417,-1148.70788574,-30649.06640625,119.52809143,-951.6071167,8510.07226563,111.57814789,842.67565918,-17301.10742188,118.45523834,-300.24249268,-12960.65429688,94.65795898,-868.70422363,14077.96289063,158.16532898,337.07766724,1213.73730469,176.36288452,-242.99136353,-3888.92626953,124.45935059,187.71272278,21584.89648438,3.12296601990057,6.26142048701203,14.6067889161624
2.658333,84.18068695,-501.52371216,-2299.16210938,136.10832214,-588.79504395,-56737.984375,151.34700012,-1534.64562988,-37912.4765625,101.72399139,682.91088867,-10100.71582031,98.64143372,-126.12718201,-4504.54052734,88.11283875,-1155.85913086,11970.51269531,73.81878662,-637.95532227,-15409.78125,92.73553467,-1320.4498291,-15419.71191406,110.54610443,-769.4362793,19966.41601563,119.23882294,581.26049805,-26994.79296875,116.53350067,-337.32913208,-4204.52636719,89.12199402,-554.22137451,33003.12890625,160.510849,319.6008606,-5502.34326172,172.34562683,-137.06819153,2847.14111328,123.44302368,368.88394165,18407.03320313,1.42057380361448,9.16874550665163,14.7111198909072
