Time,temple_left_X,temple_left_Y,temple_left_Z,spine_front_left_X,spine_front_left_Y,spine_front_left_Z,spine_mid_left_X,spine_mid_left_Y,spine_mid_left_Z,spine_back_left_X,spine_back_left_Y,spine_back_left_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,left_hand_X,left_hand_Y,left_hand_Z,left_hip_X,left_hip_Y,left_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,left_ankle_bone_X,left_ankle_bone_Y,left_ankle_bone_Z,left_foot_X,left_foot_Y,left_foot_Z,tail_1_left_X,tail_1_left_Y,tail_1_left_Z,tail_2_left_X,tail_2_left_Y,tail_2_left_Z,temple_right_X,temple_right_Y,temple_right_Z,spine_front_right_X,spine_front_right_Y,spine_front_right_Z,spine_mid_right_X,spine_mid_right_Y,spine_mid_right_Z,spine_back_right_X,spine_back_right_Y,spine_back_right_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,right_hand_X,right_hand_Y,right_hand_Z,right_hip_X,right_hip_Y,right_hip_Z,right_knee_X,right_knee_Y,right_knee_Z,right_ankle_bone_X,right_ankle_bone_Y,right_ankle_bone_Z,right_foot_X,right_foot_Y,right_foot_Z,tail_1_right_X,tail_1_right_Y,tail_1_right_Z,tail_2_right_X,tail_2_right_Y,tail_2_right_Z,object_1_X,object_1_Y,object_1_Z,object_2_X,object_2_Y,object_2_Z,midtempleX,midtempleY,midtempleZ,midspinefrontX,midspinefrontY,midspinefrontZ,midspinemidX,midspinemidY,midspinemidZ,midspinebackX,midspinebackY,midspinebackZ,midtail1X,midtail1Y,midtail1Z,midtail2X,midtail2Y,midtail2Z,head_obj1_dist,spinefront_obj1_dist,lefthand_obj1_dist,righthand_obj1_dist
2.583333,0.47566301,0.88654852,0.18766341,0.17294841,0.90059513,0.19116966,0.0302835,0.8397063,0.23609667,-0.21734069,0.81289858,0.30103084,0.28533319,0.88366443,0.06303985,0.17145117,0.90059328,-0.03930388,0.31732461,0.89847928,-0.19461827,0.42142594,0.92810863,-0.22201741,-0.31176233,0.82910979,0.18296802,-0.16279988,0.88163483,0.10738733,-0.35366619,0.78974444,-0.00804187,-0.22192435,0.72532308,-0.10411894,-0.37595934,0.75400603,0.24877444,-0.4642151,0.72076607,0.22258604,0.48017991,0.83714843,0.19371438,0.18587807,0.7585485,0.22489698,0.01860246,0.7525596,0.22540592,-0.23034999,0.71385169,0.28351405,0.24481171,0.75459027,0.07951348,0.10181662,0.69562268,-0.00107666,0.20836729,0.71854717,-0.17851554,0.27726707,0.71413302,-0.22076225,-0.30987948,0.73913819,0.20944387,-0.15944922,0.6908164,0.07218938,-0.33694318,0.71247828,-0.06836474,-0.26483577,0.76738685,-0.15558419,-0.39257574,0.71453905,0.24435467,-0.46826738,0.71748662,0.23911889,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.47792146,0.861848475,0.190688895,0.17941324,0.829571815,0.20803332,0.02444298,0.79613295,0.230751295,-0.22384534,0.763375135,0.292272445,-0.38426754,0.73427254,0.246564555,-0.46624124,0.719126345,0.230852465,1.27614009538453,1.54105730372471,1.54001393280196,1.69167292378174
2.591666,0.51635361,0.89589351,0.22179666,0.22865263,0.9054811,0.20180735,0.07159085,0.85798997,0.24206914,-0.17544827,0.82105267,0.30453643,0.31482807,0.89457816,0.07342094,0.18369199,0.89464545,-0.02899468,0.32169473,0.90136766,-0.19008879,0.42090252,0.92728126,-0.22200531,-0.26403475,0.84169072,0.18007928,-0.10924271,0.89710182,0.12247576,-0.24605154,0.78299218,-0.04444964,-0.11190291,0.75394458,-0.12171841,-0.33425838,0.7496177,0.24222764,-0.41335398,0.73741144,0.22468774,0.51769114,0.84106052,0.22767991,0.22470881,0.76512611,0.23223697,0.06540116,0.75318563,0.23790637,-0.18216445,0.71620274,0.28929931,0.30446696,0.74741751,0.09930111,0.13395673,0.70235646,0.01586225,0.21403459,0.72553051,-0.16889381,0.2774469,0.71627718,-0.21993311,-0.25972784,0.73772645,0.21357606,-0.10195299,0.70005327,0.09034218,-0.23983371,0.71842206,-0.08871764,-0.14477281,0.76778412,-0.1724937,-0.34307626,0.7249527,0.24351768,-0.42766601,0.73258412,0.23971522,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.517022375,0.868477015,0.224738285,0.22668072,0.835303605,0.21702216,0.068496005,0.8055878,0.239987755,-0.17880636,0.768627705,0.29691787,-0.33866732,0.7372852,0.24287266,-0.420509995,0.73499778,0.23220148,1.22553474896012,1.49369730358613,1.54051564545842,1.69050622109381
2.6,0.55431509,0.90476334,0.25836921,0.28140533,0.90557933,0.21688892,0.11643241,0.87202698,0.25212035,-0.13407472,0.82789528,0.30824488,0.34520042,0.90522218,0.0885172,0.20299682,0.89326793,-0.01273702,0.32588097,0.90256596,-0.18428059,0.42081839,0.92654645,-0.22197664,-0.21396504,0.84553355,0.1751308,-0.05496363,0.90592992,0.13644622,-0.14041297,0.7941826,-0.07193907,-0.00665401,0.79500747,-0.13408338,-0.29130003,0.75282753,0.23488443,-0.36422312,0.75083911,0.22661322,0.55440313,0.84473312,0.26536745,0.25785992,0.77647805,0.24380082,0.10838118,0.75735259,0.25291392,-0.13634981,0.72006524,0.29458123,0.35781887,0.74328136,0.12340888,0.16925284,0.71990258,0.03643473,0.22266771,0.73365521,-0.15700842,0.2773273,0.72043389,-0.21787067,-0.20974921,0.73845494,0.21506479,-0.0469617,0.70605397,0.10865187,-0.13784169,0.73225802,-0.10956535,-0.02365793,0.77340233,-0.19688398,-0.29751924,0.74018162,0.2434217,-0.38401082,0.7493012,0.23855792,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.55435911,0.87474823,0.26186833,0.269632625,0.84102869,0.23034487,0.112406795,0.814689785,0.252517135,-0.135212265,0.77398026,0.301413055,-0.294409635,0.746504575,0.239153065,-0.37411697,0.750070155,0.23258557,1.17535918403756,1.44868901679217,1.54066366526147,1.68834596797576
2.608333,0.5889104,0.91292161,0.29812977,0.32370985,0.90931892,0.23419248,0.15483601,0.88701397,0.26776078,-0.09449606,0.83221436,0.31129634,0.37549868,0.91103309,0.10802683,0.23098345,0.89710122,0.00936366,0.33093977,0.90204734,-0.17545694,0.42111519,0.92584735,-0.22201429,-0.16735105,0.85123259,0.16950923,-0.00225358,0.90821505,0.14715984,-0.0443521,0.81439757,-0.08828374,0.08855241,0.84676188,-0.14444736,-0.24993666,0.7627973,0.22756337,-0.31810382,0.75677192,0.22784299,0.58917999,0.84958357,0.30750719,0.29578191,0.7832123,0.26412639,0.15049618,0.76239359,0.27253684,-0.09364406,0.73407036,0.29823783,0.40500173,0.7438156,0.15234123,0.2061936,0.73642343,0.05996991,0.23777209,0.7476415,-0.14178745,0.27804959,0.72704315,-0.21347678,-0.16209292,0.74032938,0.21350855,0.00369612,0.71084619,0.12390067,-0.03567697,0.74343365,-0.12881385,0.09224082,0.76653618,-0.21479149,-0.2541073,0.75135177,0.24244039,-0.33608499,0.76542711,0.23739371,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.589045195,0.88125259,0.30281848,0.30974588,0.84626561,0.249159435,0.152666095,0.82470378,0.27014881,-0.09407006,0.78314236,0.304767085,-0.25202198,0.757074535,0.23500188,-0.327094405,0.761099515,0.23261835,1.12612933385911,1.40432242242865,1.54056316806943,1.68357525172029
2.616667,0.62212181,0.92146492,0.34114531,0.35198456,0.92215526,0.25422293,0.18730198,0.89306635,0.28443325,-0.05679729,0.83850688,0.31308886,0.40915045,0.92405027,0.13375738,0.26305118,0.90817499,0.03424586,0.33968335,0.90185058,-0.16181539,0.42153707,0.92521751,-0.22181447,-0.12231,0.85377312,0.16324478,0.04517303,0.90836966,0.15204459,0.04333797,0.83550191,-0.10236907,0.17781189,0.88888222,-0.16112377,-0.20758648,0.76601607,0.22231312,-0.27393436,0.76815897,0.22785167,0.62297469,0.85632861,0.35257441,0.32986271,0.79287928,0.28921303,0.18898949,0.76835072,0.29438847,-0.053048,0.74223191,0.30109295,0.43977681,0.7525925,0.18136413,0.2480614,0.75427473,0.08345917,0.2616716,0.76684707,-0.12432995,0.2835055,0.73934448,-0.20654757,-0.11748149,0.74441338,0.21325567,0.0519968,0.71328413,0.12948938,0.0568979,0.73834735,-0.13819031,0.18724325,0.73798388,-0.22303014,-0.20955358,0.76305825,0.2388521,-0.28995171,0.77954817,0.23549195,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.62254825,0.888896765,0.34685986,0.340923635,0.85751727,0.27171798,0.188145735,0.830708535,0.28941086,-0.054922645,0.790369395,0.307090905,-0.20857003,0.76453716,0.23058261,-0.281943035,0.77385357,0.23167181,1.07692520213336,1.36541777789418,1.54020628778069,1.67229911591551
2.625,0.6557312,0.92981625,0.38615304,0.37639588,0.9362306,0.27780911,0.21301016,0.89663315,0.29882362,-0.01960408,0.84590381,0.31352726,0.44403604,0.93563956,0.16213952,0.305686,0.91899168,0.06252896,0.35409081,0.8998844,-0.14479269,0.42221934,0.92399937,-0.22096837,-0.07974485,0.86282659,0.15698297,0.08901171,0.90719843,0.1491787,0.11608122,0.86382526,-0.1106865,0.25208393,0.91639137,-0.1816017,-0.16541749,0.7720958,0.21766087,-0.22893964,0.77842969,0.22714525,0.65617263,0.86546874,0.39828324,0.37282285,0.79489094,0.32329392,0.22889937,0.76740527,0.31751865,-0.01358739,0.75031269,0.30158949,0.47255021,0.76505744,0.21361221,0.29636219,0.7619471,0.11015657,0.29761693,0.79659247,-0.10483601,0.30062285,0.75684029,-0.19299272,-0.07412399,0.75372809,0.21447451,0.09920171,0.71664476,0.12501243,0.12005378,0.72296989,-0.14679068,0.24698316,0.70522982,-0.22220139,-0.16346452,0.77655929,0.23089436,-0.24126936,0.7923947,0.23262683,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.655951915,0.897642495,0.39221814,0.374609365,0.86556077,0.300551515,0.220954765,0.83201921,0.308171135,-0.016595735,0.79810825,0.307558375,-0.164441005,0.774327545,0.224277615,-0.2351045,0.785412195,0.22988604,1.02774250138843,1.32273093454712,1.53932157214225,1.64693329427379
2.633333,0.69154668,0.93791872,0.43202132,0.40569368,0.94363695,0.30698973,0.24396496,0.90342003,0.3143374,0.01822075,0.85409105,0.31244314,0.48856467,0.94529754,0.19864342,0.35746571,0.92151344,0.09025425,0.38441947,0.90297347,-0.12008955,0.42356029,0.92240673,-0.21714859,-0.03214761,0.86590987,0.15165527,0.13161743,0.9080916,0.13770196,0.1678073,0.89248252,-0.12277836,0.30259255,0.92886841,-0.19711824,-0.11826285,0.78398359,0.21215443,-0.18195544,0.78898042,0.22405702,0.69101232,0.87633294,0.44357163,0.40975106,0.80056953,0.3564119,0.26354474,0.76983666,0.33669946,0.02432475,0.77022988,0.30367726,0.50336885,0.77881217,0.24889128,0.35037029,0.76231521,0.14132579,0.35803044,0.8183983,-0.07622885,0.33633327,0.77916467,-0.16730493,-0.03015937,0.77451682,0.21797468,0.14179538,0.72398412,0.10953351,0.1468704,0.71346623,-0.15809484,0.26920953,0.68631947,-0.22029647,-0.11667451,0.79288417,0.22363777,-0.19280824,0.80495036,0.22991879,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.6912795,0.90712583,0.437796475,0.40772237,0.87210324,0.331700815,0.25375485,0.836628345,0.32551843,0.02127275,0.812160465,0.3080602,-0.11746868,0.78843388,0.2178961,-0.18738184,0.79696539,0.226987905,0.977406450808098,1.28025375432555,1.53608429014957,1.59898435461006
2.641666,0.7309441,0.94547284,0.47808683,0.43979424,0.9454003,0.3390173,0.28016174,0.91279066,0.3318834,0.05643487,0.86301845,0.30932513,0.53797036,0.95109093,0.23970023,0.4169625,0.92144305,0.11862275,0.42554718,0.90319711,-0.09234508,0.43438193,0.91243762,-0.2061114,0.01446425,0.8729316,0.14438468,0.17261383,0.91236043,0.11919025,0.194471,0.90521067,-0.13887224,0.32649931,0.93490446,-0.20439869,-0.07114849,0.79389924,0.20321453,-0.13410455,0.7966308,0.21510877,0.72919774,0.88795048,0.48701033,0.45020971,0.80353945,0.39146918,0.30353096,0.76905811,0.35259306,0.06255555,0.79600745,0.3070322,0.54323173,0.79523253,0.28798902,0.4058437,0.76225573,0.17854674,0.43457064,0.8361057,-0.03716734,0.38970211,0.80565333,-0.12528427,0.01525719,0.79220885,0.21925096,0.17882456,0.73329246,0.08986668,0.14596483,0.71475786,-0.16942888,0.27014276,0.68329424,-0.21953465,-0.06947912,0.80534852,0.21680243,-0.14445134,0.814237,0.22429831,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.73007092,0.91671166,0.48254858,0.445001975,0.874469875,0.36524324,0.29184635,0.840924385,0.34223823,0.05949521,0.82951295,0.308178665,-0.070313805,0.79962388,0.21000848,-0.139277945,0.8054339,0.21970354,0.925068748887365,1.23430689909785,1.52232959394297,1.52686134348202
2.65,0.77375096,0.95278615,0.52212137,0.47433057,0.95086908,0.36949992,0.31753892,0.9212516,0.34849918,0.09395962,0.87326181,0.30464998,0.58643878,0.96180367,0.2822862,0.47256976,0.93245506,0.14777495,0.48153958,0.9001137,-0.0589552,0.46034983,0.89471644,-0.17238048,0.06048701,0.87746835,0.13881373,0.21138656,0.91965878,0.09637154,0.19966312,0.89628488,-0.1601385,0.33014223,0.93538731,-0.2042771,-0.02359339,0.8063224,0.19341908,-0.08689132,0.80889636,0.20183207,0.77189642,0.89992023,0.52820587,0.48587239,0.80843008,0.42140853,0.3357296,0.77939916,0.36227474,0.10216874,0.82475448,0.31215683,0.58650523,0.8097527,0.33068115,0.45907339,0.76674873,0.2189541,0.52120537,0.85079932,0.02037194,0.46055114,0.83012903,-0.06827443,0.05860133,0.8013925,0.2193066,0.21116598,0.74256152,0.0703689,0.14036398,0.72098076,-0.17493092,0.26614493,0.68653327,-0.21990649,-0.02099157,0.81042582,0.21339822,-0.09980636,0.82022977,0.2186885,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.77282369,0.92635319,0.52516362,0.48010148,0.87964958,0.395454225,0.32663426,0.85032538,0.35538696,0.09806418,0.849008145,0.308403405,-0.02229248,0.80837411,0.20340865,-0.09334884,0.814563065,0.210260285,0.87062513769128,1.19113398062888,1.48407339425915,1.43281786859301
2.658333,0.81896412,0.95945609,0.56243074,0.50980312,0.95834762,0.40057924,0.35191205,0.91442049,0.35862148,0.13334994,0.8850373,0.29985169,0.62770623,0.97796166,0.32282811,0.51987362,0.95428944,0.18602456,0.54147309,0.8992725,-0.01967678,0.49909386,0.88319248,-0.12204941,0.10290731,0.88197029,0.13528782,0.24829011,0.92596352,0.07369774,0.19929069,0.88392591,-0.17455934,0.32843697,0.93337488,-0.20361441,0.02269016,0.81050986,0.18477882,-0.03789202,0.81621099,0.18793173,0.81896442,0.91066122,0.56595689,0.52100265,0.81439775,0.45207122,0.37078738,0.79083115,0.3721104,0.14582242,0.84301203,0.3144981,0.64172828,0.81744647,0.37842396,0.51118332,0.76449335,0.26055142,0.60916919,0.86108935,0.0924819,0.5398652,0.86169851,1.28e-05,0.10365643,0.806665,0.21728674,0.23994045,0.75008893,0.05647885,0.14056702,0.727651,-0.17092006,0.26631787,0.68819952,-0.21962127,0.02641673,0.81193912,0.21213147,-0.05437627,0.82054436,0.21508577,1.57972765,1.14326465,0.76979303,1.58591473,1.17996943,-0.19235978,0.81896427,0.935058655,0.564193815,0.515402885,0.886372685,0.42632523,0.361349715,0.85262582,0.36536594,0.13958618,0.864024665,0.307174895,0.024553445,0.81122449,0.198455145,-0.046134145,0.818377675,0.20150875,0.815096125565311,1.14749763255124,1.42505784425876,1.32406759971436
