Time,ring_jump_1_left_shoulder_angle,ring_jump_1_left_shoulder_angle_v,ring_jump_1_left_shoulder_angle_a,ring_jump_1_left_elbow_angle,ring_jump_1_left_elbow_angle_v,ring_jump_1_left_elbow_angle_a,ring_jump_1_left_wrist_angle,ring_jump_1_left_wrist_angle_v,ring_jump_1_left_wrist_angle_a,ring_jump_1_left_hip_angle,ring_jump_1_left_hip_angle_v,ring_jump_1_left_hip_angle_a,ring_jump_1_left_knee_angle,ring_jump_1_left_knee_angle_v,ring_jump_1_left_knee_angle_a,ring_jump_1_left_ankle_angle,ring_jump_1_left_ankle_angle_v,ring_jump_1_left_ankle_angle_a,ring_jump_1_right_shoulder_angle,ring_jump_1_right_shoulder_angle_v,ring_jump_1_right_shoulder_angle_a,ring_jump_1_right_elbow_angle,ring_jump_1_right_elbow_angle_v,ring_jump_1_right_elbow_angle_a,ring_jump_1_right_wrist_angle,ring_jump_1_right_wrist_angle_v,ring_jump_1_right_wrist_angle_a,ring_jump_1_right_hip_angle,ring_jump_1_right_hip_angle_v,ring_jump_1_right_hip_angle_a,ring_jump_1_right_knee_angle,ring_jump_1_right_knee_angle_v,ring_jump_1_right_knee_angle_a,ring_jump_1_right_ankle_angle,ring_jump_1_right_ankle_angle_v,ring_jump_1_right_ankle_angle_a,ring_jump_1_temple_spine_angle,ring_jump_1_temple_spine_angle_v,ring_jump_1_temple_spine_angle_a,ring_jump_1_spine_angle,ring_jump_1_spine_angle_v,ring_jump_1_spine_angle_a,ring_jump_1_spine_tail_angle,ring_jump_1_spine_tail_angle_v,ring_jump_1_spine_tail_angle_a,NeckAng,SpineAng,TailAng
2.6,93.58129883,-317.72058105,9042.96679688,91.39632416,147.44216919,21475.296875,137.95429993,2.5730896,28750.6640625,85.55465698,-426.31820679,9548.9609375,58.30081177,378.29174805,15116.80957031,85.00067902,-746.30358887,73858.46875,103.07817078,-854.3840332,14766.27929688,97.25064087,-476.94595337,27490.99609375,160.96231079,-734.96276855,28671.171875,89.23430634,-383.64471436,12904.58691406,85.87608337,417.09210205,18537.87695313,86.79608154,-35.22692871,51117.109375,173.69044495,217.25494385,-20925.51757813,167.08525085,253.69873047,-2593.98583984,156.65136719,-109.20547485,23812.80859375,3.89378751970147,6.20239422249197,3.27781784929036
2.608333,91.02594757,-242.41928101,8239.18457031,92.68412018,317.46002197,16717.66992188,138.02534485,189.04907227,25087.6328125,81.44944763,-341.33743286,9755.8828125,61.96202469,503.30108643,15602.54101563,78.40800476,-140.12741089,62301.30859375,96.30200195,-726.45080566,12209.03320313,93.50325012,-242.66281128,27449.83203125,153.89305115,-483.36547852,26639.69726563,85.77024078,-272.787323,12044.65625,89.34175873,554.05383301,12819.08203125,86.5941391,363.25195313,40954.484375,175.65325928,48.59710693,-15193.48925781,169.58502197,224.97070313,-3426.71826172,154.47077942,72.68737793,4837.29882813,3.15026177484055,5.78312672428387,2.44844884563653
2.616667,88.71714783,-167.11799622,7435.40283203,94.93093872,487.47787476,11960.04199219,139.35366821,375.52505493,21424.6015625,79.11316681,-256.35665894,9962.8046875,65.59915924,628.3104248,16088.27246094,76.00984955,466.04873657,50744.1484375,89.17697906,-598.51757813,9651.78710938,90.96051788,-8.37966919,27408.66796875,150.1940918,-231.76818848,24608.22265625,83.59805298,-161.92993164,11184.72558594,93.797966,691.01556396,7100.28710938,88.90314484,761.73083496,30791.85742188,176.6987915,-120.06072998,-9461.4609375,171.15161133,196.24267578,-4259.45068359,154.1232605,254.58023071,-14138.20996094,2.26299324406597,5.2529755648096,2.93735253799603
2.625,87.3741684,-120.67962646,6694.31835938,99.17481995,550.02783203,7577.54345703,142.48548889,705.17102051,5430.01757813,77.13668823,-206.91635132,11605.05175781,70.2667923,764.99133301,13682.62402344,82.10552979,714.85241699,43621.44921875,84.19488525,-572.74780273,9419.921875,90.52445221,182.31384277,26263.7109375,149.60568237,-139.80621338,25455.28320313,82.46168518,-107.24594116,12070.97753906,99.13973236,745.79870605,601.44714355,94.47290039,984.38244629,18025.05859375,174.51622009,-131.24282837,-6929.12304688,172.30348206,188.27362061,-6497.48046875,158.8223877,-44.66186523,-17463.14257813,1.23891321502336,4.38048302847812,3.96609058611035
2.633333,87.00632477,-54.06661987,3939.02929688,105.25039673,627.94219971,-2839.67138672,147.70678711,831.18334961,-8207.26855469,76.07450867,-87.67196655,13030.19433594,77.31705475,916.77575684,7886.04980469,91.80205536,1165.78771973,21357.31054688,82.10122681,-502.40036011,5943.78369141,93.79244995,448.43078613,21015.80078125,149.87600708,135.06362915,16347.53222656,82.37498474,11.10572815,11916.15820313,107.39603424,745.75714111,-9606.68359375,107.48512268,1162.60046387,-5971.60839844,171.94326782,-194.39788818,-13.54278564,174.04844666,119.74807739,-7911.16162109,165.24624634,-316.31942749,-28758.48046875,1.91762092509549,3.09920674171919,5.05368267409902
2.641667,87.20709991,-10.38146973,416.09375,112.46295166,596.55212402,-15293.5390625,157.10719299,500.69824219,-31608.71875,74.77659607,30.83251953,15245.18164063,87.11438751,1007.99243164,-1539.95239258,105.97886658,1347.90014648,-1645.57800293,78.25789642,-406.71960449,7107.01269531,99.67448425,673.52307129,14515.57128906,150.74414063,370.18325806,3850.49194336,82.79409027,116.25953674,13041.45703125,115.30003357,612.39556885,-18517.48828125,121.20258331,1067.84033203,-29612.63867188,169.53305054,-176.75506592,4621.76464844,175.7689209,27.29187012,-7303.21679688,158.90097046,-623.05493164,-24076.53710938,3.38295332065607,1.66421172686824,6.86048993320301
2.65,87.48061371,-14.60693359,-3596.96142578,117.29760742,432.46984863,-29007.46484375,175.00608826,139.03915405,-56964.140625,75.69023132,169.01794434,16300.16894531,96.96664429,968.17681885,-13075.53125,118.26992798,1242.60839844,-26626.56445313,73.7537384,-414.08563232,11452.6953125,106.94008636,747.36291504,3730.94580078,154.12030029,424.47738647,-11168.69628906,83.86545563,225.93330383,13439.72851563,121.16582489,370.36230469,-24249.93554688,133.06968689,639.75439453,-47375.390625,168.64830017,-95.29754639,8424.984375,175.93367004,-79.94918823,-4487.53222656,148.1108551,-909.11071777,-5093.13378906,4.59982574541324,1.0415320496478,8.87794924574761
2.658333,87.45616913,-78.30909729,-7681.91699219,121.25996399,104.49523926,-41071.14453125,166.40032959,-360.93322754,-60939.828125,77.67732239,325.57397461,15150.30566406,106.15513611,773.87072754,-23481.0546875,130.16918945,833.00506592,-50704.07421875,70.04634094,-366.02676392,12205.49414063,114.32128906,727.15826416,-11131.13183594,160.71255493,169.52468872,-28107.71679688,86.37111664,343.52096558,11184.12695313,122.44284058,88.12774658,-25681.14257813,135.79034424,-14.29000854,-55489.671875,168.41932678,2.00302124,10292.83300781,174.43731689,-132.38433838,-1246.10339355,133.7767334,-977.02545166,14144.04394531,5.19639805969624,1.78021664399446,11.3633023633808
2.666667,87.13793182,-181.18484497,-9949.20605469,120.73455048,-355.0567627,-45736.47265625,155.932724,-1194.59973145,-49210.27734375,81.38537598,466.83761597,12329.46582031,111.98959351,465.31829834,-29220.6796875,136.38230896,189.83612061,-61674.640625,68.46343994,-178.31329346,10351.12207031,121.46868134,602.88928223,-22960.93945313,167.51248169,-254.76852417,-38173.6171875,89.42714691,463.97131348,7448.53369141,120.11949158,-152.21984863,-21658.19921875,132.30529785,-629.5098877,-48662.6328125,168.88156128,116.72195435,6145.99462891,171.18595886,-64.56756592,1819.79077148,127.78778839,-645.39825439,29271.75390625,5.2695542213305,3.01762415501671,12.971930996971
2.675,85.26203156,-291.80007935,-8943.9609375,117.58241272,-856.76824951,-41036.87890625,143.8343811,-1768.05078125,-33867.97265625,86.10736847,569.1739502,7890.69482422,114.26767731,143.0859375,-28226.65429688,137.04298401,-500.58334351,-57360.28125,63.97484589,20.20431519,7705.85205078,123.72904968,293.41210938,-31921.66992188,163.53355408,-693.7109375,-35183.4296875,94.3197937,528.33349609,2723.23217773,116.74668121,-318.15423584,-13796.64550781,120.12645721,-1036.97338867,-28526.55664063,169.92700195,228.8142395,-321.03076172,169.23124695,5.99899292,3518.69458008,123.46621704,-122.64755249,35204.27734375,4.71082530592158,3.66026898889909,14.180310933685
