Time,temple_left_X,temple_left_Y,temple_left_Z,spine_front_left_X,spine_front_left_Y,spine_front_left_Z,spine_mid_left_X,spine_mid_left_Y,spine_mid_left_Z,spine_back_left_X,spine_back_left_Y,spine_back_left_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,left_hand_X,left_hand_Y,left_hand_Z,left_hip_X,left_hip_Y,left_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,left_ankle_bone_X,left_ankle_bone_Y,left_ankle_bone_Z,left_foot_X,left_foot_Y,left_foot_Z,tail_1_left_X,tail_1_left_Y,tail_1_left_Z,tail_2_left_X,tail_2_left_Y,tail_2_left_Z,temple_right_X,temple_right_Y,temple_right_Z,spine_front_right_X,spine_front_right_Y,spine_front_right_Z,spine_mid_right_X,spine_mid_right_Y,spine_mid_right_Z,spine_back_right_X,spine_back_right_Y,spine_back_right_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,right_hand_X,right_hand_Y,right_hand_Z,right_hip_X,right_hip_Y,right_hip_Z,right_knee_X,right_knee_Y,right_knee_Z,right_ankle_bone_X,right_ankle_bone_Y,right_ankle_bone_Z,right_foot_X,right_foot_Y,right_foot_Z,tail_1_right_X,tail_1_right_Y,tail_1_right_Z,tail_2_right_X,tail_2_right_Y,tail_2_right_Z,object_1_X,object_1_Y,object_1_Z,object_2_X,object_2_Y,object_2_Z,midtempleX,midtempleY,midtempleZ,midspinefrontX,midspinefrontY,midspinefrontZ,midspinemidX,midspinemidY,midspinemidZ,midspinebackX,midspinebackY,midspinebackZ,midtail1X,midtail1Y,midtail1Z,midtail2X,midtail2Y,midtail2Z,head_obj1_dist,spinefront_obj1_dist,lefthand_obj1_dist,righthand_obj1_dist
2.6,0.4919695,0.94256067,0.12297699,0.16982235,0.89494836,0.22077377,0.01064611,0.85261589,0.23472773,-0.21029681,0.80745971,0.30512086,0.20973656,0.91442853,0.08795588,0.05819485,0.88962942,0.02791799,0.13392225,0.87155306,-0.16999108,0.21812743,0.89150745,-0.21892802,-0.34265888,0.83373857,0.19322652,-0.22718541,0.89786553,0.09190553,-0.42569298,0.79544753,0.00711755,-0.35204843,0.78028232,-0.11232434,-0.38864106,0.72613943,0.2928775,-0.46269625,0.70468682,0.25610417,0.51356465,0.85838318,0.1518331,0.22879715,0.75153196,0.23368651,0.06909456,0.73841077,0.2487172,-0.18974243,0.70092571,0.31158102,0.33568773,0.78495073,0.11475379,0.27538869,0.71889937,-0.00427465,0.44632614,0.76589918,-0.15353735,0.52215219,0.76486456,-0.19148427,-0.27390099,0.66047555,0.24894644,-0.16154861,0.64780372,0.1104573,-0.37815109,0.67317384,-0.04284002,-0.30325815,0.71345574,-0.13014889,-0.35800412,0.62771094,0.29096279,-0.43736216,0.59049207,0.28331205,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.502767075,0.900471925,0.137405045,0.19930975,0.82324016,0.22723014,0.039870335,0.79551333,0.241722465,-0.20001962,0.75419271,0.30835094,-0.37332259,0.676925185,0.291920145,-0.450029205,0.647589445,0.26970811,1.43057669385155,1.69011829853058,1.84656575355505,1.61203453986406
2.608333,0.53643399,0.94791961,0.13976705,0.21617326,0.90215915,0.22374088,0.05994077,0.86876374,0.24030079,-0.16579913,0.82192665,0.30783692,0.24795677,0.92327529,0.08861443,0.09103991,0.90087306,0.04514677,0.14098604,0.87411022,-0.1588548,0.21816394,0.89159036,-0.21889605,-0.29026559,0.84475142,0.19214982,-0.16260791,0.90167075,0.10261138,-0.33814335,0.80710548,-0.00875413,-0.25214508,0.83494914,-0.11154322,-0.33714181,0.73089504,0.28391752,-0.41568983,0.72306037,0.25410858,0.55653191,0.86707139,0.17182969,0.277859,0.76419228,0.23920289,0.11299993,0.74290735,0.25408632,-0.14345929,0.69925749,0.31775716,0.38633588,0.77478278,0.1223307,0.28439778,0.73902714,-2.318e-05,0.44411054,0.77161205,-0.16130023,0.52112055,0.76659912,-0.19217034,-0.22843774,0.66365677,0.24659336,-0.10473443,0.6798563,0.11284129,-0.28794426,0.6801002,-0.05269538,-0.20379068,0.72002745,-0.13477322,-0.31421259,0.64021301,0.28695273,-0.39335957,0.60289365,0.28546426,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.54648295,0.9074955,0.15579837,0.24701613,0.833175715,0.231471885,0.08647035,0.805835545,0.247193555,-0.15462921,0.76059207,0.31279704,-0.3256772,0.685554025,0.285435125,-0.4045247,0.66297701,0.26978642,1.3827567884014,1.64244782341292,1.84650524996493,1.61277592574951
2.616667,0.57892084,0.95427889,0.16048136,0.26197186,0.90946794,0.22760227,0.10942993,0.87865031,0.2456965,-0.12118071,0.83209699,0.31085369,0.28819928,0.9306944,0.09132097,0.12531415,0.90961641,0.06054469,0.15023243,0.87629694,-0.14756177,0.21827047,0.89106488,-0.21892042,-0.23599137,0.84852964,0.18819197,-0.10251709,0.91150028,0.11456663,-0.25308186,0.82161689,-0.02681412,-0.14984488,0.8758117,-0.11492217,-0.28818363,0.74077755,0.27622506,-0.3672336,0.7365579,0.25109786,0.59848469,0.87456036,0.19532108,0.32485944,0.77223372,0.24616362,0.15520287,0.74690163,0.26157624,-0.09993565,0.70081586,0.32371011,0.43346393,0.76429695,0.13114406,0.29602951,0.75466448,0.00572478,0.44421488,0.77464271,-0.16382045,0.52037704,0.76794964,-0.19252792,-0.18355933,0.67053258,0.24394877,-0.04805012,0.70382535,0.12036677,-0.1976223,0.70432121,-0.06749853,-0.09967881,0.73411363,-0.14229693,-0.26990351,0.65384507,0.28327885,-0.34915233,0.62035149,0.2862128,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.588702765,0.914419625,0.17790122,0.29341565,0.84085083,0.236882945,0.1323164,0.81277597,0.25363637,-0.11055818,0.766456425,0.3172819,-0.27904357,0.69731131,0.279751955,-0.358192965,0.678454695,0.26865533,1.33471886937312,1.59617887511883,1.84651252741491,1.61320656391333
2.625,0.61950177,0.95998347,0.18732841,0.30675212,0.91650808,0.23333497,0.15893213,0.88125342,0.25295931,-0.07604664,0.83457619,0.31604254,0.3306132,0.93671566,0.09786329,0.16288415,0.91736847,0.07345577,0.16326688,0.87892288,-0.13569972,0.21852948,0.89020342,-0.21841146,-0.18167584,0.84939539,0.18723437,-0.03984385,0.92254853,0.12849449,-0.16295771,0.84480715,-0.04453931,-0.04786408,0.90195084,-0.12489703,-0.24231233,0.75071627,0.26900443,-0.31899154,0.74414158,0.24909161,0.63796997,0.88160634,0.22387756,0.36771271,0.7760455,0.25540182,0.19565222,0.74966663,0.27241084,-0.06002992,0.70766646,0.32963282,0.47524178,0.75881052,0.1421815,0.31178898,0.76429415,0.0151705,0.44648808,0.77568781,-0.16099811,0.51996756,0.76884353,-0.192497,-0.13961844,0.6823073,0.24056204,0.01005929,0.71267682,0.13188502,-0.10024665,0.72530311,-0.08270197,0.01475111,0.74320465,-0.15268657,-0.22602746,0.66953343,0.27797365,-0.30495036,0.64230108,0.28392592,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.62873587,0.920794905,0.205602985,0.337232415,0.84627679,0.244368395,0.177292175,0.815460025,0.262685075,-0.06803828,0.771121325,0.32283768,-0.234169895,0.71012485,0.27348904,-0.31197095,0.69322133,0.266508765,1.28639829714407,1.55218222882874,1.84616886095608,1.61327370519675
2.633333,0.65820605,0.96557331,0.21954814,0.35156193,0.92231804,0.24317625,0.20320657,0.88713312,0.26410481,-0.03304554,0.83939195,0.32179782,0.37576744,0.94473898,0.10998137,0.20472135,0.92364156,0.08471762,0.18378834,0.87814385,-0.1229166,0.21993501,0.88859302,-0.21680498,-0.12858097,0.85104537,0.18743052,0.01855749,0.92955232,0.14087966,-0.07619052,0.88071632,-0.05723844,0.05204565,0.9368124,-0.13816726,-0.19955929,0.76090246,0.26229897,-0.27057323,0.74770266,0.2446703,0.67602003,0.8876754,0.25700617,0.40530744,0.77959019,0.26628298,0.23403059,0.7527535,0.28599063,-0.02109715,0.71326184,0.33551043,0.50979197,0.76247847,0.15730365,0.33359596,0.77164978,0.02875981,0.45000616,0.77552134,-0.15496236,0.52004266,0.76941568,-0.19217701,-0.09559869,0.69622189,0.23848715,0.06217429,0.72521657,0.14371639,0.00308603,0.74162805,-0.09384132,0.12230913,0.7523067,-0.16615401,-0.18272136,0.6817959,0.27342811,-0.26117501,0.67080563,0.27886701,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.66711304,0.926624355,0.238277155,0.378434685,0.850954115,0.254729615,0.21861858,0.81994331,0.27504772,-0.027071345,0.776326895,0.328654125,-0.191140325,0.72134918,0.26786354,-0.26587412,0.709254145,0.261768655,1.23769834294852,1.50987529185164,1.84441448590452,1.61288249097265
2.641667,0.69556534,0.97186279,0.25661111,0.39414835,0.92930138,0.2582323,0.24399903,0.89277714,0.27939084,0.00695139,0.8457365,0.32755798,0.42148399,0.95596683,0.12747321,0.25120378,0.93210202,0.09588305,0.21216464,0.88282734,-0.10839446,0.22222522,0.88799924,-0.21249112,-0.08129819,0.86463845,0.18957838,0.07838109,0.92744851,0.15122181,0.01742042,0.91705936,-0.06718878,0.1472214,0.96399343,-0.15199883,-0.15657541,0.76751035,0.25373113,-0.22456048,0.75836873,0.24177231,0.71245003,0.89474124,0.29427719,0.4391726,0.78248739,0.2803818,0.27112445,0.75689727,0.30179584,0.0168619,0.72006011,0.3403452,0.54651022,0.76756525,0.18054676,0.36119252,0.78087354,0.04788357,0.45505577,0.7773208,-0.14585693,0.52007902,0.77027982,-0.19162174,-0.05077966,0.69880575,0.23569252,0.11199897,0.72520763,0.15306583,0.10312014,0.7472654,-0.09730554,0.22707692,0.75292683,-0.17832124,-0.13940452,0.69473666,0.26828751,-0.21884054,0.6858356,0.27518988,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.704007685,0.933302015,0.27544415,0.416660475,0.855894385,0.26930705,0.25756174,0.824837205,0.29059334,0.011906645,0.782898305,0.33395159,-0.147989965,0.731123505,0.26100932,-0.22170051,0.722102165,0.258481095,1.18854832924799,1.46891220541151,1.84035141533003,1.61231000174623
2.65,0.73077399,0.98030454,0.29638594,0.43493414,0.93582916,0.27849984,0.28097829,0.89806271,0.29725674,0.04439579,0.85673702,0.33135131,0.46814787,0.96826094,0.14980607,0.29980585,0.94272679,0.10811657,0.25635064,0.89141399,-0.09189484,0.23720953,0.87239695,-0.20194483,-0.03135917,0.8707872,0.19037221,0.12994227,0.9245978,0.15782419,0.10551751,0.949139,-0.07364308,0.23659191,0.99387175,-0.16119978,-0.11288191,0.77468979,0.24695541,-0.18069462,0.77309757,0.24014416,0.74852872,0.90190369,0.33506346,0.47169548,0.784859,0.29866245,0.30706882,0.76191628,0.31883445,0.05466432,0.72531897,0.34357244,0.58638096,0.76988953,0.20858675,0.39521131,0.78945768,0.06985155,0.46386364,0.78079164,-0.13235457,0.52026713,0.77158618,-0.19000208,-0.00605074,0.70147479,0.230933,0.1563424,0.72618544,0.16025151,0.18930766,0.75061673,-0.09853745,0.31285313,0.75765145,-0.18751894,-0.09447262,0.702757,0.26301393,-0.17197873,0.69293755,0.27313799,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.739651355,0.941104115,0.3157247,0.45331481,0.86034408,0.288581145,0.294023555,0.829989495,0.308045595,0.049530055,0.791027995,0.337461875,-0.103677265,0.738723395,0.25498467,-0.176336675,0.73301756,0.256641075,1.13944529922413,1.42802757214202,1.8249285878503,1.61089153843832
2.658333,0.76590991,0.98805869,0.33824456,0.47388992,0.94213891,0.30233857,0.31567648,0.90153998,0.3154746,0.08299662,0.86544317,0.33335283,0.51440799,0.98052847,0.17560372,0.35292682,0.94968468,0.12300515,0.31118187,0.90146422,-0.07531288,0.27008361,0.85191935,-0.1806927,0.01681557,0.87726235,0.19074763,0.17667563,0.92635518,0.16071539,0.19447437,0.95531178,-0.08021826,0.31965345,1.00012887,-0.17015226,-0.06538264,0.77945429,0.2413495,-0.13508128,0.79044366,0.24020991,0.78393596,0.90998667,0.37797844,0.50433344,0.78810471,0.32144481,0.34216744,0.76730442,0.33637965,0.09257632,0.73177099,0.34537673,0.62811762,0.77170193,0.23970594,0.43454325,0.80007792,0.09316915,0.47958621,0.78976768,-0.11446476,0.52151936,0.77476537,-0.18659045,0.03960153,0.70474917,0.2218063,0.19882005,0.72355115,0.16147019,0.25143707,0.75961483,-0.10341101,0.37767535,0.76021975,-0.19192719,-0.04861803,0.70981205,0.25874084,-0.12396711,0.69770825,0.27342853,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.774922935,0.94902268,0.3581115,0.48911168,0.86512181,0.31189169,0.32892196,0.8344222,0.325927125,0.08778647,0.79860708,0.33936478,-0.057000335,0.74463317,0.25004517,-0.129524195,0.744075955,0.25681922,1.09041307061143,1.38665002647552,1.79010571945605,1.60713488101428
2.666667,0.80158556,0.99574059,0.38038915,0.51306796,0.94562775,0.32781005,0.34827429,0.90086865,0.33291727,0.12164827,0.87510186,0.33429122,0.56154388,0.98991311,0.20435125,0.40412721,0.9576779,0.14075208,0.37907264,0.90303141,-0.05835083,0.32720026,0.84879524,-0.14969008,0.06539364,0.88047814,0.19037494,0.21945694,0.93347043,0.158838,0.26088914,0.96026343,-0.08617588,0.38486537,1.00013399,-0.17892119,-0.01819773,0.78477597,0.23850191,-0.08805784,0.79850852,0.24004848,0.81986332,0.91888511,0.42165494,0.53711593,0.79350519,0.34744608,0.37603194,0.77237916,0.35343185,0.13165966,0.73903137,0.34437913,0.6664108,0.7804113,0.27608114,0.47782421,0.80988234,0.11801026,0.50694448,0.79958892,-0.09402859,0.52719271,0.77794522,-0.17881784,0.08645672,0.70878476,0.21132991,0.24029726,0.72978258,0.15606979,0.28725892,0.76078397,-0.113412,0.41177231,0.75841224,-0.19397141,-0.00235979,0.71627074,0.2554808,-0.07547573,0.70631921,0.27354512,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.81072444,0.95731285,0.401022045,0.525091945,0.86956647,0.337628065,0.362153115,0.836623905,0.34317456,0.126653965,0.807066615,0.339335175,-0.01027876,0.750523355,0.246991355,-0.081766785,0.752413865,0.2567968,1.04131230837665,1.34455358225588,1.72701108922025,1.59743899800819
2.675,0.83859515,1.00633955,0.4210943,0.55088294,0.95135099,0.35405889,0.37950942,0.90126354,0.34693915,0.16257094,0.88016844,0.33456865,0.6093595,0.99930561,0.23575985,0.4541122,0.96467113,0.16216169,0.45267987,0.91134912,-0.03596397,0.40122578,0.85368097,-0.10894201,0.10862453,0.89025694,0.19123322,0.25994894,0.94533485,0.15023626,0.30457041,0.95147002,-0.09939405,0.42689824,0.98426419,-0.19451368,0.02845211,0.79097003,0.23430197,-0.04140301,0.80724418,0.23830344,0.85734808,0.92864227,0.4637053,0.56990755,0.80111217,0.37482336,0.40884584,0.77867144,0.3688781,0.172254,0.74717182,0.34049964,0.71497166,0.7825247,0.31349629,0.52165526,0.82085109,0.14144112,0.54773438,0.81208038,-0.06901652,0.5406245,0.78833061,-0.16166332,0.13359642,0.71177697,0.20439285,0.2808364,0.73528057,0.14345987,0.29818347,0.76853102,-0.12903647,0.42389986,0.75427836,-0.19508167,0.04375328,0.72159147,0.25260952,-0.02798595,0.71039337,0.27408424,1.76811016,1.18661988,0.7403776,1.78405643,1.26513243,-0.16596562,0.847971615,0.96749091,0.4423998,0.560395245,0.87623158,0.364441125,0.39417763,0.83996749,0.357908625,0.16741247,0.81367013,0.337534145,0.036102695,0.75628075,0.243455745,-0.03469448,0.758818775,0.25619384,0.991697139645375,1.30239949551809,1.64333959546118,1.57449458857667
