Time,ring_jump_1_left_shoulder_angle,ring_jump_1_left_shoulder_angle_v,ring_jump_1_left_shoulder_angle_a,ring_jump_1_left_elbow_angle,ring_jump_1_left_elbow_angle_v,ring_jump_1_left_elbow_angle_a,ring_jump_1_left_wrist_angle,ring_jump_1_left_wrist_angle_v,ring_jump_1_left_wrist_angle_a,ring_jump_1_left_hip_angle,ring_jump_1_left_hip_angle_v,ring_jump_1_left_hip_angle_a,ring_jump_1_left_knee_angle,ring_jump_1_left_knee_angle_v,ring_jump_1_left_knee_angle_a,ring_jump_1_left_ankle_angle,ring_jump_1_left_ankle_angle_v,ring_jump_1_left_ankle_angle_a,ring_jump_1_right_shoulder_angle,ring_jump_1_right_shoulder_angle_v,ring_jump_1_right_shoulder_angle_a,ring_jump_1_right_elbow_angle,ring_jump_1_right_elbow_angle_v,ring_jump_1_right_elbow_angle_a,ring_jump_1_right_wrist_angle,ring_jump_1_right_wrist_angle_v,ring_jump_1_right_wrist_angle_a,ring_jump_1_right_hip_angle,ring_jump_1_right_hip_angle_v,ring_jump_1_right_hip_angle_a,ring_jump_1_right_knee_angle,ring_jump_1_right_knee_angle_v,ring_jump_1_right_knee_angle_a,ring_jump_1_right_ankle_angle,ring_jump_1_right_ankle_angle_v,ring_jump_1_right_ankle_angle_a,ring_jump_1_temple_spine_angle,ring_jump_1_temple_spine_angle_v,ring_jump_1_temple_spine_angle_a,ring_jump_1_spine_angle,ring_jump_1_spine_angle_v,ring_jump_1_spine_angle_a,ring_jump_1_spine_tail_angle,ring_jump_1_spine_tail_angle_v,ring_jump_1_spine_tail_angle_a,NeckAng,SpineAng,TailAng
2.525,114.83522797,258.80950928,-6205.93310547,118.21994019,111.87835693,-3908.38842773,169.73396301,36.14135742,-2060.95263672,97.63289642,54.55078125,-3612.74047852,57.63115311,102.26989746,3072.57666016,101.21611786,117.64343262,-4330.56152344,110.65442657,216.45812988,2568.31982422,105.05717468,234.27337646,1266.98828125,159.59707642,284.0057373,-11836.55859375,93.69050598,191.96640015,-2167.82861328,54.64522171,180.62004089,2877.55834961,88.90535736,198.6946106,-733.42987061,164.77227783,-1.73492432,-2951.26464844,172.65621948,9.56726074,-3970.12573242,134.27085876,644.09680176,-22068.59179688,2.80314472440714,5.75517674440766,10.7573664687633
2.533333,116.91275024,207.50556946,-6387.79541016,119.10077667,79.33898926,-3991.65234375,169.56286621,24.91897583,-2608.22509766,98.55345917,17.58346558,-2551.0078125,58.67275238,127.27897644,3266.6328125,102.05784607,67.79075623,-2540.93652344,112.46240997,262.92901611,-928.60687256,106.64992523,278.16329956,-3088.41699219,161.50474548,176.47186279,-10829.09863281,95.84139252,175.64079285,-2789.67822266,56.27722549,214.92739868,1673.19348145,90.45565033,205.22224426,-2346.60449219,164.60401917,-30.8996582,-2158.20288086,172.37516785,-34.49798584,-2264.68164063,140.37619019,387.22344971,-12135.80273438,2.9341346186193,5.72813620596425,9.60425029649862
2.541667,118.40122223,165.98762512,-6369.70458984,119.82380676,51.82899475,-3977.23925781,169.16546631,2.50762939,-2195.58081055,98.53276825,3.79119873,-1831.12719727,59.73992157,148.60705566,3456.10742188,102.14897156,71.15386963,-2181.54418945,115.38032532,222.08831787,-1945.17944336,110.20056152,202.89482117,-3829.70385742,163.13778687,114.89837646,-10128.43945313,97.2615509,157.96401978,-3573.36010742,58.3766098,206.05944824,1670.94702148,92.61737823,167.20481873,-2730.91748047,164.37782288,-44.33868408,-1499.26452637,172.24079895,-39.82269287,-1657.25524902,143.45394897,380.20492554,-9465.21289063,3.03937184975358,5.90995891137229,8.52635957455906
2.55,120.08975983,90.99014282,-5838.09619141,119.98941803,8.92555237,-3550.67553711,170.21894836,-45.85906982,-2385.44384766,98.34705353,-10.9147644,-469.35836792,61.03941727,186.9354248,3616.15136719,102.46865845,52.51625061,-610.14172363,117.59887695,192.50015259,-4635.45117188,112.32368469,151.78466797,-6866.22363281,162.94839478,4.40261841,-7345.80517578,98.25469971,126.94442749,-4019.87231445,60.48007584,223.44036865,679.05303955,94.12483215,136.42707825,-4210.93798828,163.29289246,-59.24621582,-561.14837646,170.73789978,-51.56036377,-796.67572021,141.21586609,353.30581665,-929.39453125,3.14405480396165,6.22331074665103,8.1614698443465
2.558333,120.3094635,41.34559631,-4862.2109375,119.96791077,-23.56742859,-2836.71728516,170.27374268,-44.86083984,-1897.85461426,97.50717163,-7.72590637,243.51669312,62.57950211,218.37481689,3792.78222656,102.9547348,53.69247437,67.61966705,119.28650665,135.32470703,-5270.15966797,113.35744476,82.6184845,-6867.20166016,162.91731262,-62.69165039,-4989.87988281,99.21057892,73.62060547,-4295.19140625,62.04817963,229.02294922,517.83642578,95.11490631,102.16072083,-4381.12304688,163.33653259,-53.34579468,366.76361084,170.91175842,-35.98495483,-719.27276611,144.00772095,374.13726807,1210.50537109,3.14895806659163,6.24543574614955,7.28327339454307
2.566667,120.21616364,3.36280823,-2776.36767578,119.3813324,-46.51000977,-1553.91882324,168.35733032,-58.64532471,-64.14611816,97.61932373,6.60736084,194.68795776,64.74407196,248.72505188,3257.60205078,103.57566833,59.43244934,124.72190857,119.3560791,77.4747467,-4137.93505859,112.3596344,7.60719299,-4554.85595703,161.73849487,-84.36767578,-2419.44262695,99.7328949,32.56332397,-4318.40527344,63.65778351,229.27658081,509.91958618,95.12150574,53.01292419,-3220.53173828,162.07328796,-43.04443359,1637.65234375,170.24597168,-38.7109375,-425.60852051,148.54917908,425.75531006,-2612.84204102,3.23227513947306,6.45223776741938,5.9792840869225
2.575,119.36287689,-16.50276184,-444.66558838,118.79117584,-53.65379333,82.0072937,167.5925293,-70.73532104,1147.72241211,97.86712646,19.06021118,-589.00805664,67.08485413,281.20709229,2034.98339844,104.27321625,66.0774231,70.73589325,119.50914764,38.32504272,-2800.62841797,111.81352234,-34.1355896,-2659.72802734,160.20663452,-68.83056641,284.86361694,100.13809204,2.82394409,-3524.73730469,65.77919769,230.7612915,-62.75192261,95.55549622,14.62333679,-2024.68383789,162.59629822,-35.74813843,2397.9140625,170.75231934,-60.62240601,-355.44219971,156.10443115,458.28918457,-4677.37109375,3.16584247261832,6.6732488820947,4.95491481746637
2.583333,119.58214569,-2.3815155,974.99841309,118.30860138,-44.51622009,1684.10449219,167.31001282,-45.63278198,1738.15551758,98.71360016,12.44766235,-2404.00878906,69.50772095,302.09991455,542.64770508,104.48208618,70.55839539,-379.93240356,119.59705353,29.36462402,-1434.1394043,111.89000702,-28.98414612,-1022.60516357,159.80291748,-53.69888306,1187.44482422,99.21538544,-22.96821594,-2277.13598633,67.89202881,235.25515747,-570.06115723,95.88721466,8.71658325,-733.71350098,162.01571655,-6.09481812,2128.70800781,170.6811676,-72.68569946,-557.65197754,159.24977112,340.80429077,-4483.04052734,3.22850451568132,6.91929340914674,4.41477453562317
2.591667,119.45317078,30.90011597,1952.26513672,117.83837891,-19.69345093,3065.88867188,167.24569702,-8.70803833,2250.50488281,98.68491364,-13.79722595,-4320.0625,71.99837494,296.03570557,-1679.58996582,105.10182953,60.7559967,-961.60198975,120.07907867,45.26916504,-683.2208252,111.68318176,2.80677795,141.59332275,159.722229,-29.58190918,911.20880127,99.15570831,-42.30056763,-1549.44848633,70.07775116,231.07292175,-1148.05895996,95.41631317,29.0599823,630.5012207,162.07658386,32.44918823,1375.66101074,168.86286926,-56.55776978,548.29162598,160.5372467,188.05099487,-3315.65063477,3.18164113215367,7.49174424076382,4.01950532307514
2.6,119.98788452,54.32357788,2036.25390625,117.86915588,11.63520813,3564.79052734,167.76568604,5.94085693,1112.54980469,98.52062988,-66.12861633,-5398.05371094,74.89218903,273.79876709,-4557.85302734,105.78683472,46.55487061,-1943.17810059,120.38117218,49.21340942,-241.27105713,111.73308563,6.34727478,875.515625,160.47134399,-25.74050903,601.38409424,98.61612701,-45.60035706,-1232.72888184,71.69960022,216.02684021,-1795.69812012,95.43800354,42.03804016,1050.27648926,161.8180542,42.25143433,-180.89172363,167.84733582,-62.0791626,1595.76757813,161.22218323,176.90536499,328.39752197,3.23391527331112,7.87473737494292,3.53533342613029
