Time,temple_left_X,temple_left_Y,temple_left_Z,spine_front_left_X,spine_front_left_Y,spine_front_left_Z,spine_mid_left_X,spine_mid_left_Y,spine_mid_left_Z,spine_back_left_X,spine_back_left_Y,spine_back_left_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,left_hand_X,left_hand_Y,left_hand_Z,left_hip_X,left_hip_Y,left_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,left_ankle_bone_X,left_ankle_bone_Y,left_ankle_bone_Z,left_foot_X,left_foot_Y,left_foot_Z,tail_1_left_X,tail_1_left_Y,tail_1_left_Z,tail_2_left_X,tail_2_left_Y,tail_2_left_Z,temple_right_X,temple_right_Y,temple_right_Z,spine_front_right_X,spine_front_right_Y,spine_front_right_Z,spine_mid_right_X,spine_mid_right_Y,spine_mid_right_Z,spine_back_right_X,spine_back_right_Y,spine_back_right_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,right_hand_X,right_hand_Y,right_hand_Z,right_hip_X,right_hip_Y,right_hip_Z,right_knee_X,right_knee_Y,right_knee_Z,right_ankle_bone_X,right_ankle_bone_Y,right_ankle_bone_Z,right_foot_X,right_foot_Y,right_foot_Z,tail_1_right_X,tail_1_right_Y,tail_1_right_Z,tail_2_right_X,tail_2_right_Y,tail_2_right_Z,object_1_X,object_1_Y,object_1_Z,object_2_X,object_2_Y,object_2_Z,midtempleX,midtempleY,midtempleZ,midspinefrontX,midspinefrontY,midspinefrontZ,midspinemidX,midspinemidY,midspinemidZ,midspinebackX,midspinebackY,midspinebackZ,midtail1X,midtail1Y,midtail1Z,midtail2X,midtail2Y,midtail2Z,head_obj1_dist,spinefront_obj1_dist,lefthand_obj1_dist,righthand_obj1_dist
2.525,1.20377851,0.69401163,1.11131728,0.9209637,0.65772176,1.0731324,0.76140589,0.61360466,1.08834791,0.53787571,0.56524515,1.13636065,1.01755297,0.6964317,0.97273779,0.96641606,0.6816442,0.81998426,1.12402236,0.68143201,0.65184104,1.18626034,0.68216419,0.55559802,0.39769572,0.58270109,1.05196667,0.46518186,0.59286124,0.89846605,0.2330001,0.53955269,0.93397552,0.18214174,0.54178703,0.79725993,0.36360106,0.50894588,1.13748896,0.30498841,0.51852393,1.09124172,1.22132635,0.56465203,1.1364727,0.9444657,0.4841288,1.11091089,0.78946674,0.45366365,1.10290432,0.55007535,0.41129753,1.14354098,1.0440346,0.49100763,1.00401437,0.96974623,0.45804814,0.84766018,1.12865317,0.53662026,0.68519413,1.17185199,0.55226517,0.59672219,0.43378958,0.38371462,1.088606,0.49706841,0.39202651,0.92315441,0.26702389,0.41295695,0.9844414,0.23516172,0.43617994,0.84620512,0.35893041,0.42027554,1.14374137,0.27681926,0.44845995,1.11271584,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.21255243,0.62933183,1.12389499,0.9327147,0.57092528,1.092021645,0.775436315,0.533634155,1.095626115,0.54397553,0.48827134,1.139950815,0.361265735,0.46461071,1.140615165,0.290903835,0.48349194,1.10197878,1.32250257662402,1.04394918458867,1.24241482736533,1.20307567667457
2.533333,1.24147165,0.70003837,1.09625626,0.95902979,0.65965545,1.06211495,0.79887336,0.61453074,1.08129776,0.57477218,0.5704183,1.13280416,1.05257595,0.69855392,0.96141678,1.00431168,0.68536735,0.80768174,1.16312027,0.68576109,0.63947588,1.22572088,0.68891668,0.5431543,0.43099409,0.58527881,1.04901528,0.49321371,0.5962413,0.89475685,0.25859225,0.54764241,0.93299085,0.20484109,0.54809207,0.79725647,0.3989532,0.51614296,1.13689256,0.3378523,0.51719522,1.09487128,1.25935864,0.5723111,1.12084544,0.98152703,0.49035779,1.09949839,0.82608831,0.45997527,1.09469426,0.58763748,0.41865224,1.14031088,1.08023465,0.49780437,0.99129593,1.00797665,0.47126958,0.83188003,1.16715002,0.54565376,0.6717037,1.21425962,0.56153905,0.58407092,0.47064155,0.39108801,1.08466887,0.52684361,0.40116167,0.91906667,0.2962828,0.41767433,0.98260081,0.25899664,0.43914151,0.84600973,0.39642105,0.42787591,1.14427507,0.31205708,0.45609289,1.11699235,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.250415145,0.636174735,1.10855085,0.97027841,0.57500662,1.08080667,0.812480835,0.537253005,1.08799601,0.58120483,0.49453527,1.13655752,0.397687125,0.472009435,1.140583815,0.32495469,0.486644055,1.105931815,1.35415316073671,1.07482399678172,1.28356289657433,1.24717594528487
2.541667,1.2793107,0.70808542,1.07971418,0.99662429,0.66363484,1.04970801,0.83661449,0.61785376,1.07302165,0.6120804,0.57675987,1.12762082,1.08835769,0.70255136,0.94862211,1.04261005,0.68990386,0.79458451,1.20166898,0.69291848,0.6267544,1.26560569,0.70377886,0.53070736,0.46444628,0.58993644,1.04556859,0.52309757,0.59761006,0.89039671,0.28520736,0.55353129,0.93056333,0.23020817,0.55733573,0.79593801,0.43554288,0.52061456,1.13543487,0.37134171,0.52147001,1.09894574,1.29764175,0.57999027,1.10387194,1.01771021,0.49815539,1.08715594,0.86275607,0.46592727,1.08497071,0.62208617,0.42875099,1.13596308,1.11706161,0.50470501,0.97758007,1.04931796,0.4931916,0.81123585,1.20659292,0.55474478,0.65763235,1.25615537,0.57091802,0.57078725,0.50775766,0.38997936,1.07933319,0.55802721,0.40716791,0.91454548,0.32558659,0.42139784,0.97810894,0.28326973,0.44011375,0.84380835,0.43642572,0.43924257,1.14390337,0.35092008,0.45753512,1.12033331,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.288476225,0.644037845,1.09179306,1.00716725,0.580895115,1.068431975,0.84968528,0.541890515,1.07899618,0.617083285,0.50275543,1.13179195,0.4359843,0.479928565,1.13966912,0.361130895,0.489502565,1.109639525,1.38626570198867,1.10548701135824,1.32690094343062,1.29091979086559
2.55,1.31550252,0.71448404,1.06300652,1.03287411,0.67530423,1.03682852,0.87345564,0.62636775,1.06246507,0.64895117,0.58827174,1.12121916,1.12410116,0.7067073,0.93518806,1.07925475,0.69768333,0.78091669,1.23863375,0.70265597,0.61391211,1.3031044,0.70406735,0.51794696,0.49776158,0.59404629,1.04189968,0.55277079,0.60028708,0.88568455,0.31181702,0.5598563,0.9264695,0.25584823,0.56482685,0.7919277,0.47389567,0.51934636,1.13394594,0.40679148,0.52515161,1.10222924,1.33596158,0.58738256,1.08585513,1.05452728,0.50557375,1.07361877,0.89925945,0.47335282,1.07408845,0.65980566,0.43428752,1.1304245,1.15437496,0.51150835,0.96272069,1.0915395,0.50618154,0.79276681,1.24711215,0.56405437,0.64280492,1.29714417,0.57813585,0.55665839,0.54539907,0.39428139,1.07457161,0.58974898,0.41575655,0.90912652,0.35506606,0.42675015,0.97278541,0.30897608,0.44342068,0.8391431,0.47548622,0.45019287,1.14206684,0.38956866,0.4631595,1.12315726,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.32573205,0.6509333,1.074430825,1.043700695,0.59043899,1.055223645,0.886357545,0.549860285,1.06827676,0.654378415,0.51127963,1.12582183,0.474690945,0.484769615,1.13800639,0.39818007,0.494155555,1.11269325,1.41782740033089,1.13663911407664,1.36489620814836,1.3336710966142
2.558333,1.3513304,0.72074348,1.04532444,1.06860745,0.68336189,1.0227437,0.90972716,0.63635707,1.05061674,0.68633777,0.59924716,1.11337554,1.16061389,0.71265703,0.92061162,1.11640513,0.70306396,0.76645988,1.27530682,0.71230638,0.60066891,1.34100449,0.71264076,0.50433767,0.53154904,0.60256475,1.0380075,0.58411485,0.6009078,0.88037306,0.33897704,0.56514466,0.92086703,0.28245112,0.57128757,0.78665829,0.51369846,0.52514797,1.13121331,0.44206843,0.52822787,1.10479498,1.37334979,0.59458941,1.06721783,1.09196699,0.51235509,1.05880177,0.93627137,0.48063371,1.06164289,0.69736254,0.44001251,1.12325931,1.19130111,0.51921493,0.94686127,1.13184428,0.51810962,0.77492285,1.28799081,0.57266748,0.62767601,1.33813,0.58753961,0.54175371,0.58248049,0.40469921,1.07022607,0.62218511,0.42387658,0.90280139,0.38513017,0.43176675,0.96653265,0.33644643,0.4471651,0.83274209,0.51561612,0.45853588,1.13926268,0.42802206,0.4662419,1.12512016,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.362340095,0.657666445,1.056271135,1.08028722,0.59785849,1.040772735,0.922999265,0.55849539,1.056129815,0.691850155,0.519629835,1.118317425,0.51465729,0.491841925,1.135237995,0.435045245,0.497234885,1.11495757,1.44905544730917,1.16767896865746,1.40520410683376,1.3768494154929
2.566667,1.38718843,0.7254889,1.02681124,1.10476685,0.69528413,1.00728011,0.94589859,0.64599615,1.03706968,0.72317111,0.60716754,1.10532534,1.19769621,0.71924371,0.90480983,1.15280199,0.70944828,0.75135356,1.31176531,0.72102278,0.58677435,1.3777523,0.71497715,0.48864603,0.56565988,0.60893154,1.03376544,0.61355144,0.60530764,0.87512714,0.36698934,0.56863922,0.91399574,0.30978864,0.57573432,0.78003156,0.55000794,0.53426039,1.12742078,0.47870624,0.53296173,1.10672104,1.41073239,0.60158241,1.0475024,1.1296922,0.51846993,1.04292989,0.97311735,0.48879665,1.04795599,0.73557991,0.44644371,1.11494029,1.22834086,0.52612442,0.93029004,1.16937292,0.51995385,0.76147914,1.32885015,0.58097076,0.61205506,1.37771678,0.59485406,0.52693141,0.61970901,0.41492671,1.0654521,0.65461546,0.43176994,0.89577579,0.41584241,0.43550417,0.95952487,0.36662623,0.44890797,0.82439142,0.55425793,0.46609411,1.13538432,0.46789786,0.46910474,1.1268307,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.39896041,0.663535655,1.03715682,1.117229525,0.60687703,1.025105,0.95950797,0.5673964,1.042512835,0.72937551,0.526805625,1.110132815,0.552132935,0.50017725,1.13140255,0.47330205,0.501033235,1.11677587,1.4804289072051,1.19950378851733,1.44343856951098,1.41846523100082
2.575,1.42333055,0.73231715,1.00711262,1.1390202,0.69989085,0.9915902,0.98133844,0.65220714,1.02345192,0.75875652,0.61081785,1.09660709,1.2343148,0.7270295,0.88810414,1.18944168,0.71534711,0.73534763,1.35063314,0.72809577,0.57096791,1.41517663,0.72424966,0.47193474,0.59988964,0.61503512,1.02911174,0.64298558,0.61078405,0.86950177,0.39615148,0.57092601,0.90585035,0.33811301,0.58032936,0.77222461,0.58634418,0.5462603,1.12273788,0.51509106,0.53568482,1.10666323,1.44802034,0.60852367,1.02707267,1.16610253,0.52607411,1.02619016,1.00990772,0.49588996,1.03296387,0.77382755,0.45357576,1.10558438,1.2657907,0.53271043,0.91265291,1.20782256,0.52484924,0.74445498,1.36853945,0.59081042,0.59610671,1.41747773,0.60216057,0.5111022,0.65722585,0.424261,1.05957901,0.68738091,0.4382295,0.8883279,0.44680044,0.43967134,0.94986117,0.3981331,0.44872645,0.81536454,0.59341919,0.46998993,1.13142705,0.50816023,0.46800664,1.12640345,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.435675445,0.67042041,1.017092645,1.152561365,0.61298248,1.00889018,0.99562308,0.57404855,1.028207895,0.766292035,0.532196805,1.101095735,0.589881685,0.508125115,1.127082465,0.511625645,0.50184573,1.11653334,1.51236002584782,1.22973691352505,1.48399515353442,1.46045092957216
2.583333,1.459934,0.73904389,0.98662472,1.17576718,0.70680791,0.97443533,1.01691103,0.65639275,1.00905013,0.79382426,0.61039007,1.08782232,1.27081037,0.73402113,0.87019807,1.22563398,0.72364414,0.71813309,1.3889029,0.73628938,0.55372363,1.45260119,0.73406261,0.45497587,0.63496643,0.61850542,1.02408421,0.67241651,0.61756641,0.86344117,0.4247413,0.57452583,0.89712816,0.3671653,0.58459944,0.76269537,0.6235382,0.54950947,1.11786902,0.55226898,0.53636456,1.1061641,1.48564255,0.6156711,1.00542927,1.2027595,0.5333342,1.00822556,1.04667103,0.50372249,1.01664734,0.81318671,0.46072525,1.09480524,1.30357218,0.53894788,0.89399976,1.24666393,0.53344733,0.72738856,1.40932703,0.60030675,0.57889485,1.4589057,0.61070323,0.49372113,0.69451857,0.42778552,1.05240548,0.72093648,0.44363043,0.87999582,0.4779526,0.44436592,0.93837124,0.4308154,0.44989464,0.80447364,0.63282329,0.47424799,1.12605953,0.5490123,0.46960631,1.12491393,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.472788275,0.677357495,0.996026995,1.18926334,0.620071055,0.991330445,1.03179103,0.58005762,1.012848735,0.803505485,0.53555766,1.09131378,0.628180745,0.51187873,1.121964275,0.55064064,0.502985435,1.115539015,1.54499153652993,1.26162562549869,1.52478229536791,1.50452025074632
2.591667,1.4963522,0.74510616,0.96545613,1.20957232,0.71144187,0.95763355,1.05209458,0.65924168,0.99332315,0.83065408,0.6182636,1.07682204,1.30674148,0.74053711,0.85165817,1.26120579,0.73330927,0.70009279,1.42822754,0.7430504,0.53457546,1.49053729,0.74457246,0.43715492,0.67017496,0.62329537,1.01845241,0.70250571,0.624219,0.85677195,0.45603386,0.57552588,0.8869583,0.39754489,0.58831513,0.75215828,0.66273433,0.55199766,1.11085141,0.59025884,0.53830153,1.10371709,1.52255499,0.62356627,0.98324382,1.23988795,0.54068649,0.98871207,1.08361018,0.51168591,0.99917006,0.85136801,0.46907011,1.08309293,1.34041405,0.54650176,0.87453139,1.28533137,0.54031795,0.70918566,1.45148575,0.6093744,0.560224,1.50154102,0.62132317,0.47441122,0.73289859,0.43292159,1.04383385,0.75485957,0.4489367,0.87033242,0.50994521,0.45005751,0.92606741,0.46588635,0.45212623,0.79232603,0.67333746,0.47672585,1.11954999,0.59047282,0.47135955,1.12225175,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.509453595,0.684336215,0.974349975,1.224730135,0.62606418,0.97317281,1.06785238,0.585463795,0.996246605,0.841011045,0.543666855,1.079957485,0.668035895,0.514361755,1.1152007,0.59036583,0.50483054,1.11298442,1.57759711749796,1.29255043176413,1.5664262539207,1.55041452323482
2.6,1.53222156,0.75216526,0.94299227,1.24625957,0.71960068,0.93776131,1.08902001,0.66749531,0.9755128,0.86871654,0.63039744,1.06418991,1.34283257,0.74814504,0.83137429,1.29770672,0.74220425,0.68008882,1.46584523,0.75001347,0.51430005,1.52940249,0.75300652,0.41706574,0.70658898,0.63284254,1.01185215,0.73335761,0.63349265,0.84967721,0.4868609,0.57910967,0.8758105,0.42842165,0.59243089,0.74131852,0.70348758,0.5552749,1.1035701,0.62768936,0.53925854,1.10109496,1.5592773,0.63079411,0.96013218,1.27747858,0.54689884,0.96776366,1.12099516,0.5195865,0.98019636,0.89078635,0.47713763,1.06984091,1.37796676,0.5533368,0.85389674,1.32453001,0.54822737,0.69003654,1.49477983,0.61651236,0.54006499,1.54395723,0.63405544,0.45403603,0.77108037,0.43842441,1.0340749,0.7895813,0.45309865,0.8600598,0.54301083,0.4541454,0.91390789,0.49995035,0.4548929,0.77943683,0.71471018,0.48166656,1.11197472,0.63324827,0.473829,1.12017953,-0.01968743,0.41693541,0.69321442,0.00746065,0.51689309,-0.19949621,1.54574943,0.691479685,0.951562225,1.261869075,0.63324976,0.952762485,1.105007585,0.593540905,0.97785458,0.879751445,0.553767535,1.06701541,0.70909888,0.51847073,1.10777241,0.630468815,0.50654377,1.110637245,1.61018965029907,1.32534681180776,1.60900014440272,1.59666277980565
